name,rarity,color_identity
+2 Mace,common,W
Aberrant Mind Sorcerer,uncommon,U
Acererak the Archlich,mythic,B
Adult Gold Dragon,rare,Multicolor
Air-Cult Elemental,special,U
Arborea Pegasus,common,W
Arcane Investigator,common,U
Armory Veteran,common,R
Asmodeus the Archfiend,rare,B
Bag of Holding,special,Colorless
Baleful Beholder,common,B
Bar the Gate,common,U
Barbarian Class,uncommon,R
Bard Class,rare,Multicolor
Barrowin of Clan Undurr,uncommon,Multicolor
Battle Cry Goblin,special,R
Black Dragon,special,B
Blink Dog,uncommon,W
Blue Dragon,uncommon,U
Boots of Speed,common,R
Brazen Dwarf,common,R
Bruenor Battlehammer,uncommon,Multicolor
Bulette,common,G
Bull's Strength,common,G
Burning Hands,uncommon,R
Cave of the Frost Dragon,rare,W
Celestial Unicorn,special,W
Chaos Channeler,uncommon,R
Charmed Sleep,special,U
Check for Traps,uncommon,B
Choose Your Weapon,special,G
Circle of Dreams Druid,rare,G
Circle of the Moon Druid,special,G
Clattering Skeletons,common,B
Cleric Class,uncommon,W
Clever Conjurer,special,U
Cloister Gargoyle,uncommon,W
Compelled Duel,common,G
Contact Other Plane,special,U
Critical Hit,uncommon,R
Dancing Sword,rare,W
Dawnbringer Cleric,special,W
Deadly Dispute,special,B
Death-Priest of Myrkul,uncommon,B
"Delina, Wild Mage",rare,R
Delver's Torch,common,W
Demilich,mythic,U
Demogorgon's Clutches,special,B
Den of the Bugbear,rare,R
Devoted Paladin,special,W
Devour Intellect,common,B
Dire Wolf Prowler,common,G
Displacer Beast,uncommon,U
Divine Smite,uncommon,W
Djinni Windseer,common,U
Dragon Turtle,rare,U
Dragon's Disciple,uncommon,W
Dragon's Fire,special,R
Drider,special,B
Drizzt Do'Urden,rare,Multicolor
Druid Class,uncommon,G
Dueling Rapier,special,R
Dungeon Crawler,uncommon,B
Dungeon Descent,rare,Colorless
Dungeon Map,uncommon,Colorless
Dwarfhold Champion,common,W
Earth-Cult Elemental,special,R
"Ebondeath, Dracolich",mythic,B
Eccentric Apprentice,uncommon,U
Ellywick Tumblestrum,mythic,G
Elturgard Ranger,common,G
Evolving Wilds,special,Colorless
Eye of Vecna,rare,Colorless
Eyes of the Beholder,common,B
Farideh's Fireball,special,R
"Farideh, Devil's Chosen",uncommon,Multicolor
Fates' Reversal,common,B
Feign Death,common,B
Feywild Trickster,uncommon,U
Fifty Feet of Rope,uncommon,Colorless
Fighter Class,rare,Multicolor
Find the Path,common,G
Flameskull,mythic,R
Flumph,rare,W
Fly,uncommon,U
Forsworn Paladin,rare,B
Froghemoth,rare,G
Gelatinous Cube,rare,B
Gloom Stalker,common,W
Gnoll Hunter,special,G
Goblin Javelineer,common,R
Goblin Morningstar,uncommon,R
Grand Master of Flowers,mythic,W
"Grazilaxx, Illithid Scholar",rare,U
Greataxe,common,Colorless
Green Dragon,uncommon,G
Gretchen Titchwillow,uncommon,Multicolor
Grim Bounty,special,B
Grim Wanderer,special,B
Guardian of Faith,rare,W
Guild Thief,special,U
Half-Elf Monk,common,W
Hall of Storm Giants,rare,U
"Hama Pashar, Ruin Seeker",uncommon,Multicolor
Hand of Vecna,rare,Colorless
Herald of Hadar,common,B
Hill Giant Herdgorger,special,G
Hired Hexblade,common,B
Hive of the Eye Tyrant,rare,B
Hoard Robber,special,B
Hoarding Ogre,common,R
Hobgoblin Bandit Lord,rare,R
Hobgoblin Captain,special,R
Hulking Bugbear,uncommon,R
Hunter's Mark,uncommon,G
"Icingdeath, Frost Tyrant",mythic,W
Improvised Weaponry,special,R
Inferno of the Star Mounts,mythic,R
Ingenious Smith,uncommon,W
Inspiring Bard,special,G
Instrument of the Bards,rare,G
Intrepid Outlander,uncommon,G
Iron Golem,special,Colorless
"Iymrith, Desert Doom",mythic,U
Jaded Sell-Sword,special,R
"Kalain, Reclusive Painter",special,Multicolor
Keen-Eared Sentry,uncommon,W
Kick in the Door,common,R
Krydle of Baldur's Gate,special,Multicolor
Lair of the Hydra,rare,G
Leather Armor,common,Colorless
Lightfoot Rogue,uncommon,B
Loathsome Troll,uncommon,G
"Lolth, Spider Queen",mythic,B
Long Rest,rare,G
Loyal Warhound,rare,W
Lurking Roper,special,G
Magic Missile,uncommon,R
Manticore,common,B
Meteor Swarm,rare,R
Mimic,common,Colorless
Mind Flayer,rare,U
Minimus Containment,special,W
Minion of the Mighty,rare,R
"Minsc, Beloved Ranger",mythic,Multicolor
Monk Class,rare,Multicolor
Monk of the Open Hand,special,W
Moon-Blessed Cleric,uncommon,W
Mordenkainen,mythic,U
Mordenkainen's Polymorph,common,U
"Nadaar, Selfless Paladin",rare,W
Neverwinter Dryad,common,G
Ochre Jelly,rare,G
Old Gnawbone,mythic,G
Orb of Dragonkind,rare,R
"Orcus, Prince of Undeath",rare,Multicolor
Oswald Fiddlebender,rare,W
Owlbear,special,G
Paladin Class,rare,W
Paladin's Shield,common,W
Pixie Guide,common,U
Planar Ally,common,W
Plate Armor,uncommon,W
Plummet,special,G
Plundering Barbarian,common,R
Portable Hole,special,W
Potion of Healing,common,W
Power Word Kill,uncommon,B
Power of Persuasion,uncommon,U
Precipitous Drop,common,B
Price of Loyalty,common,R
Priest of Ancient Lore,special,W
Prosperous Innkeeper,special,G
Purple Worm,uncommon,G
Rally Maneuver,special,W
Ranger Class,rare,G
Ranger's Hawk,common,W
Ranger's Longbow,common,G
Ray of Enfeeblement,uncommon,B
Ray of Frost,special,U
Reaper's Talisman,uncommon,B
Red Dragon,special,R
Rimeshield Frost Giant,special,U
Rogue Class,rare,Multicolor
Rust Monster,uncommon,R
Scaled Herbalist,common,G
Scion of Stygia,common,U
Secret Door,common,U
Sepulcher Ghoul,common,B
Shambling Ghast,special,B
"Shessra, Death's Whisper",uncommon,Multicolor
Shocking Grasp,special,U
Shortcut Seeker,common,U
Silver Raven,common,U
Skeletal Swarming,rare,Multicolor
Skullport Merchant,special,B
Sorcerer Class,rare,Multicolor
Soulknife Spy,special,U
Spare Dagger,common,Colorless
Sphere of Annihilation,rare,B
Spiked Pit Trap,special,Colorless
Split the Party,uncommon,U
Spoils of the Hunt,common,G
Steadfast Paladin,special,W
Sudden Insight,uncommon,U
Swarming Goblins,common,R
Sylvan Shepherd,special,G
"Targ Nar, Demon-Fang Gnoll",uncommon,Multicolor
Tasha's Hideous Laughter,rare,U
Teleportation Circle,rare,W
Temple of the Dragon Queen,uncommon,Colorless
The Blackstaff of Waterdeep,rare,U
The Book of Exalted Deeds,mythic,W
The Book of Vile Darkness,mythic,B
The Deck of Many Things,mythic,Colorless
The Tarrasque,mythic,G
Thieves' Tools,special,B
Tiamat,mythic,Multicolor
Tiger-Tribe Hunter,uncommon,R
Treasure Chest,rare,Colorless
Treasure Vault,rare,Colorless
"Trelasarra, Moon Dancer",special,Multicolor
Trickster's Talisman,uncommon,U
Triumphant Adventurer,rare,Multicolor
True Polymorph,rare,U
Underdark Basilisk,special,G
Unexpected Windfall,special,R
Valor Singer,special,R
Vampire Spawn,special,B
"Varis, Silverymoon Ranger",rare,G
Veteran Dungeoneer,common,W
"Volo, Guide to Monsters",rare,Multicolor
Vorpal Sword,rare,B
Wandering Troubadour,uncommon,G
Warlock Class,uncommon,B
Werewolf Pack Leader,rare,G
Westgate Regent,rare,B
White Dragon,uncommon,W
Wight,rare,B
Wild Shape,special,G
Wish,rare,R
Wizard Class,uncommon,U
Wizard's Spellbook,rare,U
"Xanathar, Guild Kingpin",mythic,Multicolor
Xorn,rare,R
You Come to a River,common,U
You Come to the Gnoll Camp,special,R
You Find Some Prisoners,special,R
You Find a Cursed Idol,common,G
You Find the Villains' Lair,special,U
You Happen On a Glade,uncommon,G
You Hear Something on Watch,special,W
You Meet in a Tavern,special,G
You See a Guard Approach,common,U
