name,rarity,color_identity
Agate Assault,common,R
Agate-Blade Assassin,common,B
Alania's Pathmaker,common,R
"Alania, Divergent Storm",rare,Multicolor
Artist's Talent,rare,R
Azure Beastbinder,rare,U
Bakersbane Duo,common,G
Bandit's Talent,uncommon,B
Banishing Light,special,W
Bark-Knuckle Boxer,uncommon,G
Barkform Harvester,common,Colorless
"Baylen, the Haymaker",rare,Multicolor
Bellowing Crier,common,U
"Beza, the Bounding Spring",mythic,W
Blacksmith's Talent,uncommon,R
Blooming Blast,uncommon,R
Bonebind Orator,common,B
Bonecache Overseer,uncommon,B
Brambleguard Captain,uncommon,R
Brambleguard Veteran,uncommon,G
Brave-Kin Duo,common,W
Brazen Collector,uncommon,R
Brightblade Stoat,uncommon,W
Builder's Talent,uncommon,W
Bumbleflower's Sharepot,common,Colorless
Burrowguard Mentor,uncommon,Multicolor
Bushy Bodyguard,uncommon,G
Byway Barterer,rare,R
Cache Grab,common,G
Calamitous Tide,uncommon,U
"Camellia, the Seedmiser",rare,Multicolor
Caretaker's Talent,rare,W
Carrot Cake,common,W
Cindering Cutthroat,common,Multicolor
"Clement, the Worrywort",rare,Multicolor
Clifftop Lookout,uncommon,G
Coiling Rebirth,rare,B
Conduct Electricity,common,R
Consumed by Greed,uncommon,B
Corpseberry Cultivator,common,Multicolor
Coruscation Mage,uncommon,R
Cruelclaw's Heist,rare,B
Crumb and Get It,common,W
Curious Forager,uncommon,G
Daggerfang Duo,common,B
Daring Waverider,uncommon,U
Darkstar Augur,rare,B
Dawn's Truce,rare,W
Dazzling Denial,common,U
Dewdrop Cure,uncommon,W
Dire Downdraft,common,U
Diresight,common,B
Dour Port-Mage,rare,U
Downwind Ambusher,uncommon,B
"Dragonhawk, Fate's Tempest",mythic,R
Dreamdew Entrancer,rare,Multicolor
Driftgloom Coyote,uncommon,W
Druid of the Spade,common,G
Early Winter,common,B
Eddymurk Crab,uncommon,U
"Eluge, the Shoreless Sea",mythic,U
Emberheart Challenger,rare,R
Essence Channeler,rare,W
Fabled Passage,rare,Colorless
Feather of Flight,uncommon,W
Fecund Greenshell,rare,G
Feed the Cycle,uncommon,B
Fell,uncommon,B
Festival of Embers,rare,R
Finch Formation,common,U
"Finneas, Ace Archer",rare,Multicolor
Fireglass Mentor,uncommon,Multicolor
Flamecache Gecko,uncommon,Multicolor
Flowerfoot Swordmaster,uncommon,W
For the Common Good,rare,G
Fountainport,rare,Colorless
Fountainport Bell,common,Colorless
Frilled Sparkshooter,common,R
Frogmite,special,Colorless
Galewind Moose,uncommon,G
"Gev, Scaled Scorch",rare,Multicolor
"Glarb, Calamity's Augur",mythic,Multicolor
Glidedive Duo,common,B
Gossip's Talent,uncommon,U
Harnesser of Storms,uncommon,R
Harvestrite Host,uncommon,W
Hazardroot Herbalist,uncommon,G
Hazel's Nocturne,uncommon,B
Head of the Homestead,common,Multicolor
Heaped Harvest,common,G
Heartfire Hero,uncommon,R
Hearthborn Battler,rare,R
Heirloom Epic,uncommon,Colorless
"Helga, Skittish Seer",mythic,Multicolor
Hidden Grotto,common,Colorless
High Stride,common,G
Hired Claw,rare,R
Hivespine Wolverine,uncommon,G
Hoarder's Overflow,uncommon,R
Honored Dreyleader,uncommon,G
Hop to It,uncommon,W
"Hugs, Grisly Guardian",mythic,Multicolor
Hunter's Talent,uncommon,G
Huskburster Swarm,uncommon,B
Innkeeper's Talent,rare,G
Into the Flood Maw,uncommon,U
Intrepid Rabbit,common,W
Iridescent Vinelasher,rare,B
Jackdaw Savior,rare,W
Jolly Gerbils,uncommon,W
Junkblade Bruiser,common,Multicolor
"Kastral, the Windcrested",rare,Multicolor
Keen-Eyed Curator,rare,G
Kindlespark Duo,common,R
Kindred Charge,special,R
Kitnap,rare,U
"Kitsa, Otterball Elite",mythic,U
Knightfisher,uncommon,U
Ledger Shredder,special,U
Lifecreed Duo,common,W
Lightshell Duo,special,U
Lilypad Village,uncommon,U
Lilysplash Mentor,uncommon,Multicolor
Long River Lurker,uncommon,U
Long River's Pull,uncommon,U
Longstalk Brawl,common,G
"Lumra, Bellow of the Woods",mythic,G
Lunar Convocation,rare,Multicolor
Lupinflower Village,uncommon,W
Mabel's Mettle,uncommon,W
"Mabel, Heir to Cragflame",rare,Multicolor
"Maha, Its Feathers Night",mythic,B
Manifold Mouse,rare,R
Might of the Meek,common,R
Mind Drill Assailant,common,Multicolor
Mind Spiral,common,U
Mindwhisker,uncommon,U
Mistbreath Elder,rare,G
Mockingbird,rare,U
Moonrise Cleric,common,Multicolor
Moonstone Harbinger,uncommon,B
Mouse Trapper,uncommon,W
Mudflat Village,uncommon,B
"Muerra, Trash Tactician",rare,Multicolor
Nettle Guard,common,W
Nightwhorl Hermit,common,U
Nocturnal Hunger,common,B
Oakhollow Village,uncommon,G
Osteomancer Adept,rare,B
Otterball Antics,uncommon,U
Overprotect,uncommon,G
Parting Gust,uncommon,W
Patchwork Banner,uncommon,Colorless
Pawpatch Formation,uncommon,G
Pawpatch Recruit,rare,G
Pearl of Wisdom,common,U
Peerless Recycling,uncommon,G
Persistent Marshstalker,uncommon,B
Pileated Provisioner,common,W
Playful Shove,uncommon,R
Plumecreed Escort,uncommon,U
Plumecreed Mentor,uncommon,Multicolor
Polliwallop,common,G
Pond Prophet,common,Multicolor
Portent of Calamity,rare,U
Psychic Whorl,common,B
Quaketusk Boar,uncommon,R
Rabbit Response,common,W
Rabid Gnaw,uncommon,R
Raccoon Rallier,common,R
"Ral, Crackling Wit",mythic,Multicolor
Rat Colony,special,B
Ravine Raider,common,B
Relentless Rats,special,B
Repel Calamity,uncommon,W
Reptilian Recruiter,uncommon,R
Rockface Village,uncommon,R
Rottenmouth Viper,mythic,B
Roughshod Duo,common,R
Run Away Together,special,U
Rust-Shield Rampager,common,G
Ruthless Negotiation,uncommon,B
Salvation Swan,rare,W
Savor,common,B
Sazacap's Brew,common,R
Scales of Shale,common,B
Scavenger's Talent,rare,B
Scrapshooter,rare,G
Season of Gathering,mythic,G
Season of Loss,mythic,B
Season of Weaving,mythic,U
Season of the Bold,mythic,R
Season of the Burrow,mythic,W
Seasoned Warrenguard,uncommon,W
Secluded Courtyard,special,Colorless
Seedglaive Mentor,uncommon,Multicolor
Seedpod Squire,common,Multicolor
Shore Up,common,U
Shoreline Looter,uncommon,U
Short Bow,uncommon,Colorless
Shrike Force,uncommon,W
Sinister Monolith,uncommon,B
Skyskipper Duo,common,U
Sonar Strike,common,W
Spellgyre,uncommon,U
Splash Lasher,uncommon,U
Splash Portal,uncommon,U
Star Charter,uncommon,W
Starfall Invocation,rare,W
Starforged Sword,uncommon,Colorless
Stargaze,uncommon,B
Starlit Soothsayer,common,B
Starscape Cleric,uncommon,B
Starseer Mentor,uncommon,Multicolor
Steampath Charger,common,R
Stickytongue Sentinel,common,G
Stocking the Pantry,uncommon,G
Stormcatch Mentor,uncommon,Multicolor
Stormchaser's Talent,rare,U
Stormsplitter,mythic,R
Sugar Coat,uncommon,U
Sunshower Druid,common,G
Sunspine Lynx,rare,R
Sword of Fire and Ice,special,Colorless
Swords to Plowshares,special,W
Sylvan Tutor,special,G
Take Out the Trash,common,R
Tangle Tumbler,uncommon,Colorless
Teapot Slinger,uncommon,R
Tempest Angler,common,Multicolor
Tender Wildguide,rare,G
The Infamous Cruelclaw,mythic,Multicolor
Thistledown Players,common,W
Thornplate Intimidator,common,B
Thornvault Forager,rare,G
Thought Shucker,common,U
Thought-Stalker Warlock,uncommon,B
Three Tree City,rare,Colorless
Three Tree Mascot,common,Colorless
Three Tree Rootweaver,common,G
Three Tree Scribe,uncommon,G
Thundertrap Trainer,rare,U
Tidecaller Mentor,uncommon,Multicolor
"Toski, Bearer of Secrets",special,G
Treeguard Duo,common,G
Treetop Sentries,common,G
Uncharted Haven,common,Colorless
Valley Flamecaller,rare,R
Valley Floodcaller,rare,U
Valley Mightcaller,rare,G
Valley Questcaller,rare,W
Valley Rally,uncommon,R
Valley Rotcaller,rare,B
Veteran Guardmouse,common,Multicolor
Vinereap Mentor,uncommon,Multicolor
"Vren, the Relentless",rare,Multicolor
Wandertale Mentor,uncommon,Multicolor
War Squeak,common,R
Warren Elder,common,W
Warren Warleader,mythic,W
Waterspout Warden,common,U
Wax-Wane Witness,common,W
Wear Down,uncommon,G
Whiskerquill Scribe,common,R
Whiskervale Forerunner,rare,W
Wick's Patrol,uncommon,B
"Wick, the Whorled Mind",rare,Multicolor
Wildfire Howl,uncommon,R
Wishing Well,rare,U
"Ygra, Eater of All",mythic,Multicolor
"Zoraline, Cosmos Caller",rare,Multicolor
