name,rarity,color_identity
Adaptive Automaton,special,Colorless
Aeronaut Cavalry,common,W
Aeronaut's Wings,common,Colorless
Aetherflux Reservoir,special,Colorless
Air Marshal,common,U
Airlift Chaplain,common,W
Alloy Animist,uncommon,G
Altar of Dementia,special,Colorless
Ambush Paratrooper,common,W
Arbalest Engineers,uncommon,Multicolor
Arcane Proxy,mythic,U
Argivian Avenger,uncommon,Colorless
"Argoth, Sanctum of Nature",rare,G
Argothian Opportunist,common,G
Argothian Sprite,common,G
Arms Race,uncommon,R
Ashnod's Altar,special,Colorless
Ashnod's Harvester,uncommon,B
Ashnod's Intervention,common,B
"Ashnod, Flesh Mechanist",rare,B
Astral Cornucopia,special,Colorless
Audacity,uncommon,G
Autonomous Assembler,rare,W
Awaken the Woods,mythic,G
Battery Bearer,uncommon,Multicolor
Battlefield Butcher,uncommon,B
Battlefield Forge,rare,Multicolor
Bitter Reunion,common,R
Blackblade Reforged,special,Colorless
Bladecoil Serpent,mythic,Multicolor
Blanchwood Armor,special,G
Blanchwood Prowler,common,G
Blast Zone,rare,Colorless
Blitz Automaton,common,R
Bone Saw,special,Colorless
Boulderbranch Golem,common,G
Brotherhood's End,rare,R
Brushland,rare,Multicolor
Burnished Hart,special,Colorless
Burrowing Razormaw,common,G
Bushwhack,special,G
Caged Sun,special,Colorless
Calamity's Wake,uncommon,W
Carrion Locust,common,B
Chromatic Lantern,special,Colorless
Chromatic Star,special,Colorless
Citanul Stalwart,common,G
Cityscape Leveler,mythic,Colorless
Clay Champion,mythic,Multicolor
Clay Revenant,common,B
Cloud Key,special,Colorless
Coastal Bulwark,common,Colorless
Combat Courier,common,U
Combat Thresher,uncommon,W
Conscripted Infantry,common,R
Corrupt,uncommon,B
Cradle Clearcutter,uncommon,G
Curate,common,U
Deadly Riposte,common,W
Deathbloom Ritualist,rare,Multicolor
Defabricate,uncommon,U
Defense Grid,special,Colorless
Demolition Field,uncommon,Colorless
Depth Charge Colossus,common,U
Desynchronize,common,U
Diabolic Intent,rare,B
Disciples of Gix,uncommon,B
Disenchant,common,W
Disfigure,common,B
Door to Nothingness,special,Multicolor
Draconic Destiny,mythic,R
"Drafna, Founder of Lat-Nam",rare,U
Dreams of Steel and Oil,uncommon,B
Dredging Claw,common,B
Dwarven Forge-Chanter,common,R
Elsewhere Flask,special,Colorless
Emergency Weld,common,B
Energy Refractor,common,Colorless
Epic Confrontation,common,G
Evangel of Synthesis,uncommon,Multicolor
Evolving Wilds,special,Colorless
Excavation Explosion,common,R
Fade from History,rare,G
Fallaji Archaeologist,common,U
Fallaji Chaindancer,common,R
Fallaji Dragon Engine,uncommon,R
Fallaji Excavation,uncommon,G
Fallaji Vanguard,uncommon,Multicolor
Fateful Handoff,rare,B
Fauna Shaman,rare,G
"Feldon, Ronom Excavator",rare,R
Flow of Knowledge,uncommon,U
Fog of War,common,G
Forging the Anchor,uncommon,U
Fortified Beachhead,rare,Multicolor
Foundry Inspector,special,Colorless
Gaea's Courser,uncommon,G
Gaea's Gift,common,G
Giant Cindermaw,uncommon,R
Giant Growth,special,G
Gilded Lotus,special,Colorless
Gix's Caress,common,B
Gix's Command,rare,B
"Gix, Yawgmoth Praetor",mythic,B
Gixian Infiltrator,common,B
Gixian Puppeteer,rare,B
Gixian Skullflayer,common,B
Gnarlroot Pallbearer,common,G
Gnawing Vermin,uncommon,B
Go for the Throat,uncommon,B
Goblin Blast-Runner,common,R
Goblin Charbelcher,special,Colorless
Goblin Firebomb,common,Colorless
Goring Warplow,common,B
Great Desert Prospector,uncommon,W
Gruesome Realization,uncommon,B
Gurgling Anointer,uncommon,B
"Gwenna, Eyes of Gaea",rare,G
"Hajar, Loyal Bodyguard",rare,Multicolor
Hall of Tagsin,rare,Colorless
"Harbin, Vanguard Aviator",rare,Multicolor
Haywire Mite,uncommon,G
Heavyweight Demolisher,uncommon,R
Helm of the Host,special,Colorless
Hero of the Dunes,uncommon,Multicolor
Hoarding Recluse,common,G
Horned Stoneseeker,uncommon,R
Hostile Negotiations,rare,B
Howling Mine,special,Colorless
Hulking Metamorph,uncommon,U
Hurkyl's Final Meditation,rare,U
"Hurkyl, Master Wizard",rare,U
Ichor Wellspring,special,Colorless
In the Trenches,mythic,W
Inspiring Statuary,special,Colorless
Involuntary Cooldown,uncommon,U
Iron-Craw Crusher,uncommon,G
Ivory Tower,special,Colorless
Jalum Tome,special,Colorless
Journeyer's Kite,special,Colorless
Junkyard Genius,uncommon,Multicolor
Kayla's Command,rare,W
Kayla's Reconstruction,rare,W
Keening Stone,special,Colorless
Keeper of the Cadence,uncommon,U
Key to the City,special,Colorless
Kill-Zone Acrobat,common,B
Koilos Roc,common,U
Lat-Nam Adept,common,U
Lay Down Arms,uncommon,W
Legions to Ashes,rare,Multicolor
Levitating Statue,uncommon,Colorless
"Liberator, Urza's Battlethopter",rare,Colorless
Liquimetal Coating,special,Colorless
Llanowar Wastes,rare,Multicolor
Lodestone Golem,special,Colorless
Loran of the Third Path,rare,W
Loran's Escape,common,W
"Loran, Disciple of History",uncommon,W
Machine Over Matter,common,U
Mask of the Jadecrafter,uncommon,G
Mass Production,uncommon,W
Mazemind Tome,special,Colorless
Mechanized Warfare,rare,R
Mesmeric Orb,special,Colorless
Meticulous Excavation,uncommon,W
Mightstone's Animation,common,U
Military Discipline,common,W
Millstone,special,Colorless
Mind's Eye,special,Colorless
Mine Worker,common,Colorless
Misery's Shadow,rare,B
Mishra's Bauble,special,Colorless
Mishra's Command,rare,R
Mishra's Domination,common,R
Mishra's Foundry,rare,Colorless
Mishra's Juggernaut,common,R
Mishra's Onslaught,common,R
Mishra's Research Desk,uncommon,R
"Mishra, Claimed by Gix",mythic,Multicolor
"Mishra, Excavation Prodigy",uncommon,R
"Mishra, Tamer of Mak Fawa",rare,Multicolor
Moment of Defiance,common,B
Monastery Swiftspear,uncommon,R
Mox Amber,special,Colorless
"Myrel, Shield of Argive",mythic,W
Mystic Forge,special,Colorless
No One Left Behind,uncommon,B
Obliterating Bolt,uncommon,R
Obstinate Baloth,uncommon,G
One with the Multiverse,mythic,U
Ornithopter,special,Colorless
Over the Top,rare,R
Overwhelming Remorse,common,B
Painful Quandary,special,B
Penregon Strongbull,common,R
Perennial Behemoth,rare,G
Perilous Vault,special,Colorless
Perimeter Patrol,common,G
Phalanx Vanguard,common,W
