name,rarity,color_identity
Academy Loremaster,rare,U
Academy Wall,common,U
Adarkar Wastes,rare,Multicolor
Aether Channeler,rare,U
Aggressive Sabotage,common,Multicolor
"Ajani, Sleeper Agent",mythic,Multicolor
Anointed Peacekeeper,rare,W
Archangel of Wrath,rare,Multicolor
Argivian Cavalier,common,W
Argivian Phalanx,common,W
"Aron, Benalia's Ruin",uncommon,Multicolor
Artillery Blast,common,W
"Astor, Bearer of Blades",rare,Multicolor
Automatic Librarian,common,Colorless
"Baird, Argivian Recruiter",uncommon,Multicolor
Balduvian Atrocity,uncommon,Multicolor
Balduvian Berserker,uncommon,R
"Balmor, Battlemage Captain",special,Multicolor
Barkweave Crusher,common,G
Battle-Rage Blessing,common,B
Battlefly Swarm,common,B
Battlewing Mystic,uncommon,Multicolor
Benalish Faithbonder,common,W
Benalish Sleeper,common,Multicolor
Bite Down,special,G
Blight Pile,uncommon,B
Bog Badger,common,Multicolor
Bone Splinters,common,B
Bortuk Bonerattle,uncommon,Multicolor
Braids's Frightful Return,uncommon,B
"Braids, Arisen Nightmare",rare,B
Broken Wings,special,G
Captain's Call,common,W
Caves of Koilos,rare,Multicolor
Chaotic Transformation,rare,R
Charismatic Vanguard,common,W
Choking Miasma,uncommon,Multicolor
Citizen's Arrest,common,W
Cleaving Skyrider,uncommon,Multicolor
Clockwork Drawbridge,common,W
Coalition Skyknight,uncommon,W
Coalition Warbrute,common,R
Colossal Growth,common,Multicolor
Combat Research,uncommon,U
Contaminated Aquifer,common,Multicolor
Coral Colony,uncommon,U
Crystal Grotto,special,Colorless
Cult Conscript,uncommon,B
Cut Down,uncommon,B
"Danitha, Benalia's Hope",rare,W
Deathbloom Gardener,common,G
Defiler of Dreams,rare,U
Defiler of Faith,rare,W
Defiler of Flesh,rare,B
Defiler of Instinct,rare,R
Defiler of Vigor,rare,G
Destroy Evil,common,W
Djinn of the Fountain,uncommon,U
Drag to the Bottom,rare,B
Dragon Whelp,uncommon,R
Eerie Soultender,common,B
"Elas il-Kor, Sadistic Pilgrim",uncommon,Multicolor
Electrostatic Infantry,uncommon,R
Elfhame Wurm,common,G
Elvish Hydromancer,uncommon,Multicolor
Ertai Resurrected,rare,Multicolor
Ertai's Scorn,uncommon,U
Essence Scatter,special,U
Evolved Sleeper,rare,B
Extinguish the Light,common,B
Fires of Victory,uncommon,Multicolor
Floriferous Vinewall,common,G
Flowstone Infusion,common,R
Flowstone Kavu,common,R
Founding the Third Path,uncommon,U
Frostfist Strider,uncommon,U
Furious Bellow,common,R
Gaea's Might,common,G
"Garna, Bloodfist of Keld",uncommon,Multicolor
Geothermal Bog,common,Multicolor
Ghitu Amplifier,common,Multicolor
Gibbering Barricade,common,B
Goblin Picker,common,R
Golden Argosy,rare,Colorless
Griffin Protector,common,W
Guardian of New Benalia,rare,W
Hammerhand,common,R
Haughty Djinn,rare,U
Haunted Mire,common,Multicolor
Haunting Figment,common,U
Herd Migration,rare,G
Hero's Heirloom,uncommon,Colorless
Heroic Charge,common,Multicolor
Hexbane Tortoise,common,G
Hurler Cyclops,uncommon,R
Hurloon Battle Hymn,uncommon,Multicolor
Idyllic Beachfront,common,Multicolor
Impede Momentum,common,U
Impulse,common,U
In Thrall to the Pit,common,Multicolor
Inscribed Tablet,uncommon,Colorless
"Ivy, Gleeful Spellthief",rare,Multicolor
Jaya's Firenado,common,R
"Jaya, Fiery Negotiator",mythic,R
"Jhoira, Ageless Innovator",rare,Multicolor
Jodah's Codex,uncommon,Colorless
"Jodah, the Unifier",mythic,Multicolor
Join Forces,uncommon,W
Joint Exploration,uncommon,Multicolor
Juniper Order Rootweaver,common,Multicolor
Karn's Sylex,mythic,Colorless
"Karn, Living Legacy",mythic,Colorless
Karplusan Forest,rare,Multicolor
Keldon Flamesage,rare,R
Keldon Strike Team,common,Multicolor
King Darien XLVIII,rare,Multicolor
Knight of Dawn's Light,uncommon,W
Knight of Dusk's Shadow,uncommon,B
"Lagomos, Hand of Hatred",uncommon,Multicolor
Leaf-Crowned Visionary,rare,G
Leyline Binding,special,W
Lightning Strike,common,R
Liliana of the Veil,mythic,B
Linebreaker Baloth,uncommon,G
Llanowar Greenwidow,rare,G
Llanowar Loamspeaker,rare,G
Llanowar Stalker,common,G
Love Song of Night and Day,uncommon,W
Magnigoth Sentry,common,G
Meria's Outrider,common,R
"Meria, Scholar of Antiquity",rare,Multicolor
Mesa Cavalier,common,W
Meteorite,common,Colorless
Micromancer,special,U
Molten Monstrosity,common,R
Molten Tributary,common,Multicolor
Monstrous War-Leech,uncommon,Multicolor
Mossbeard Ancient,uncommon,G
"Nael, Avizoa Aeronaut",uncommon,Multicolor
"Najal, the Storm Runner",uncommon,Multicolor
Negate,special,U
"Nemata, Primeval Warden",rare,Multicolor
Nishoba Brawler,uncommon,G
Phoenix Chick,uncommon,R
Phyrexian Espionage,common,Multicolor
Phyrexian Missionary,uncommon,Multicolor
Phyrexian Rager,common,B
Phyrexian Vivisector,common,B
Phyrexian Warhorse,common,Multicolor
Pilfer,special,B
Pixie Illusionist,common,Multicolor
Plaza of Heroes,rare,Colorless
Prayer of Binding,uncommon,W
Protect the Negotiators,uncommon,Multicolor
Queen Allenal of Ruadach,uncommon,Multicolor
Quirion Beastcaller,rare,G
Radha's Firebrand,rare,R
"Radha, Coalition Warlord",special,Multicolor
Radiant Grove,common,Multicolor
"Raff, Weatherlight Stalwart",special,Multicolor
Ratadrabik of Urborg,rare,Multicolor
Relic of Legends,uncommon,Colorless
Resolute Reinforcements,special,W
"Rith, Liberated Primeval",mythic,Multicolor
Rivaz of the Claw,rare,Multicolor
Rona's Vortex,uncommon,Multicolor
"Rona, Sheoldred's Faithful",special,Multicolor
"Rulik Mons, Warren Chief",uncommon,Multicolor
Rundvelt Hordemaster,rare,R
Runic Shot,uncommon,Multicolor
Sacred Peaks,common,Multicolor
Salvaged Manaworker,common,Colorless
Samite Herbalist,common,W
Scout the Wilderness,common,Multicolor
Sengir Connoisseur,uncommon,B
Serra Paragon,mythic,W
Shadow Prophecy,common,B
Shadow-Rite Priest,rare,B
Shalai's Acolyte,uncommon,Multicolor
"Shanna, Purifying Blade",mythic,Multicolor
Sheoldred's Restoration,uncommon,Multicolor
"Sheoldred, the Apocalypse",mythic,B
Shield-Wall Sentinel,common,Colorless
Shivan Devastator,mythic,R
Shivan Reef,rare,Multicolor
Shore Up,special,U
Silver Scrutiny,rare,U
Silverback Elder,mythic,G
Slimefoot's Survey,uncommon,G
Smash to Dust,common,R
Snarespinner,common,G
Soaring Drake,common,U
Sol'kanar the Tainted,mythic,Multicolor
Soul of Windgrace,mythic,Multicolor
Sphinx of Clear Skies,mythic,U
Splatter Goblin,common,B
Sprouting Goblin,uncommon,Multicolor
"Squee, Dubious Monarch",rare,R
Stall for Time,common,Multicolor
"Stenn, Paranoid Partisan",rare,Multicolor
Strength of the Coalition,uncommon,Multicolor
Stronghold Arena,rare,Multicolor
Sulfurous Springs,rare,Multicolor
Sunbathing Rootwalla,common,G
Sunlit Marsh,common,Multicolor
Tail Swipe,uncommon,G
Take Up the Shield,special,W
Talas Lookout,common,U
Tangled Islet,common,Multicolor
Tattered Apparition,common,B
"Tatyova, Steward of Tides",uncommon,Multicolor
Tear Asunder,uncommon,Multicolor
Temporal Firestorm,rare,Multicolor
Temporary Lockdown,rare,W
Territorial Maro,uncommon,G
The Cruelty of Gix,rare,B
The Elder Dragon War,rare,R
The Phasing of Zhalfir,rare,U
The Raven Man,rare,B
The Weatherseed Treaty,uncommon,G
The World Spell,mythic,G
Thran Portal,rare,Colorless
Threats Undetected,rare,G
Thrill of Possibility,special,R
Tidepool Turtle,common,U
Timeless Lotus,mythic,Multicolor
Timely Interference,common,Multicolor
Tolarian Geyser,common,Multicolor
Tolarian Terror,special,U
"Tori D'Avenant, Fury Rider",uncommon,Multicolor
Toxic Abomination,common,B
Tribute to Urborg,common,Multicolor
"Tura Kennerüd, Skyknight",uncommon,Multicolor
Twinferno,uncommon,R
Urborg Lhurgoyf,rare,Multicolor
Urborg Repossession,common,Multicolor
Urza Assembles the Titans,rare,W
"Uurg, Spawn of Turg",uncommon,Multicolor
Valiant Veteran,rare,W
Vanquisher's Axe,common,Colorless
Vesuvan Duplimancy,mythic,U
Viashino Branchrider,common,Multicolor
Vineshaper Prodigy,common,Multicolor
Voda Sea Scavenger,common,U
Vodalian Hexcatcher,rare,U
Vodalian Mindsinger,rare,Multicolor
"Vohar, Vodalian Desecrator",uncommon,Multicolor
Volshe Tideturner,common,U
Walking Bulwark,uncommon,Colorless
Warhost's Frenzy,uncommon,Multicolor
Weatherlight Compleated,mythic,Colorless
Wingmantle Chaplain,uncommon,W
Wooded Ridgeline,common,Multicolor
Writhing Necromass,common,B
Yavimaya Coast,rare,Multicolor
Yavimaya Iconoclast,uncommon,Multicolor
Yavimaya Sojourner,common,G
Yavimaya Steelcrusher,common,R
Yotia Declares War,uncommon,R
"Zar Ojanen, Scion of Efrava",uncommon,Multicolor
"Zur, Eternal Schemer",mythic,Multicolor
