name,rarity,color_identity
Abandoned Campground,common,Multicolor
Abhorrent Oculus,mythic,U
Acrobatic Cheerleader,common,W
"Altanak, the Thrice-Called",uncommon,G
Anthropede,common,G
Appendage Amalgam,common,B
"Arabella, Abandoned Doll",uncommon,Multicolor
Attack-in-the-Box,uncommon,Colorless
Balemurk Leech,common,B
Balustrade Wurm,rare,G
Baseball Bat,uncommon,Multicolor
Bashful Beastie,common,G
Bear Trap,common,Colorless
Beastie Beatdown,uncommon,Multicolor
Bedhead Beastie,common,R
Betrayer's Bargain,uncommon,R
Blazemire Verge,rare,Multicolor
Bleeding Woods,common,Multicolor
Boilerbilges Ripper,common,R
Bottomless Pool // Locker Room,uncommon,U
Break Down the Door,uncommon,G
Broodspinner,uncommon,Multicolor
Cackling Slasher,common,B
Cathartic Parting,uncommon,G
Cautious Survivor,common,G
Central Elevator // Promising Stairs,rare,U
Chainsaw,rare,R
Charred Foyer // Warped Space,mythic,R
Clammy Prowler,common,U
Clockwork Percussionist,common,R
Collected Company,special,G
Come Back Wrong,rare,B
Commune with Evil,uncommon,B
Conductive Machete,uncommon,Colorless
Coordinated Clobbering,uncommon,G
Cracked Skull,common,B
Creeping Peeper,common,U
Cryptid Inspector,common,G
Cult Healer,common,W
Cursed Recording,rare,R
Cursed Windbreaker,uncommon,U
Cynical Loner,uncommon,B
Daggermaw Megalodon,common,U
Damnation,special,B
Dashing Bloodsucker,uncommon,B
Dazzling Theater // Prop Room,rare,W
Defiant Survivor,uncommon,G
Defiled Crypt // Cadaver Lab,uncommon,B
Demonic Counsel,rare,B
Derelict Attic // Widow's Walk,common,B
Dissection Tools,rare,Colorless
Disturbing Mirth,uncommon,Multicolor
Diversion Specialist,uncommon,R
Dollmaker's Shop // Porcelain Gallery,mythic,W
Don't Make a Sound,common,U
Doomsday Excruciator,rare,B
Drag to the Roots,uncommon,Multicolor
Duskmourn's Domination,uncommon,U
Emerge from the Cocoon,common,W
Enduring Courage,rare,R
Enduring Curiosity,rare,U
Enduring Innocence,rare,W
Enduring Tenacity,rare,B
Enduring Vitality,rare,G
Enter the Enigma,common,U
Entity Tracker,rare,U
Erratic Apparition,common,U
Etched Cornfield,common,Multicolor
Ethereal Armor,uncommon,W
Exorcise,uncommon,W
Expropriate,special,U
Fanatic of the Harrowing,common,B
Fear of Abduction,uncommon,W
Fear of Being Hunted,uncommon,R
Fear of Burning Alive,uncommon,R
Fear of Exposure,uncommon,G
Fear of Failed Tests,uncommon,U
Fear of Falling,uncommon,U
Fear of Immobility,common,W
Fear of Impostors,uncommon,U
Fear of Infinity,uncommon,Multicolor
Fear of Isolation,uncommon,U
Fear of Lost Teeth,common,B
Fear of Missing Out,rare,R
Fear of Surveillance,common,W
Fear of the Dark,common,B
Final Vengeance,common,B
Flesh Burrower,common,G
Floodfarm Verge,rare,Multicolor
Floodpits Drowner,uncommon,U
Found Footage,common,Colorless
