name,rarity,color_identity
Abrade,uncommon,R
Abyssal Harvester,rare,B
Adventuring Gear,uncommon,Colorless
Aegis Turtle,common,U
Aetherize,uncommon,U
Affectionate Indrik,uncommon,G
Ajani's Pridemate,uncommon,W
"Ajani, Caller of the Pride",mythic,W
Akroma's Memorial,special,Colorless
"Alesha, Who Laughs at Fate",rare,Multicolor
Ambush Wolf,common,G
An Offer You Can't Refuse,uncommon,U
Angel of Finality,uncommon,W
Anthem of Champions,rare,Multicolor
Apothecary Stomper,common,G
"Arahbo, the First Fang",rare,W
Arbiter of Woe,uncommon,B
Arcane Epiphany,uncommon,U
Archmage of Runes,rare,U
Armasaur Guide,common,W
Ashroot Animist,rare,Multicolor
Authority of the Consuls,rare,W
Axgard Cavalry,common,R
Bake into a Pie,common,B
"Balmor, Battlemage Captain",uncommon,Multicolor
Banishing Light,common,W
Banner of Kinship,rare,Colorless
Battlesong Berserker,uncommon,R
Beast-Kin Ranger,common,G
Bigfin Bouncer,common,U
Billowing Shriekmass,uncommon,B
Bite Down,common,G
Blanchwood Armor,uncommon,G
Blasphemous Edict,rare,B
Bloodfell Caves,common,Multicolor
Bloodthirsty Conqueror,mythic,B
Bloom Tender,special,G
Blossoming Sands,common,Multicolor
Boltwave,uncommon,R
Brass's Bounty,rare,R
Brazen Scourge,uncommon,R
Brineborn Cutthroat,uncommon,U
Broken Wings,common,G
Bulk Up,uncommon,R
Burglar Rat,common,B
Burnished Hart,uncommon,Colorless
Burst Lightning,common,R
Bushwhack,common,G
Cackling Prowler,common,G
Campus Guide,common,Colorless
Cat Collector,uncommon,W
Cathar Commando,common,W
Celestial Armor,rare,W
Cephalid Inkmage,uncommon,U
"Chandra, Flameshaper",mythic,R
Claws Out,uncommon,W
Clinquant Skymage,uncommon,U
Condemn,special,W
Consuming Aberration,rare,Multicolor
Courageous Goblin,common,R
Crackling Cyclops,common,R
Crypt Feaster,common,B
Crystal Barricade,rare,W
Curator of Destinies,rare,U
Dauntless Veteran,uncommon,W
Day of Judgment,rare,W
Dazzling Angel,common,W
Diregraf Ghoul,uncommon,B
Dismal Backwater,common,Multicolor
Divine Resilience,uncommon,W
Doubling Season,mythic,G
Dragon Trainer,uncommon,R
Drake Hatcher,rare,U
"Drakuseth, Maw of Flames",rare,R
Dreadwing Scavenger,uncommon,Multicolor
Dwynen's Elite,common,G
"Dwynen, Gilt-Leaf Daen",uncommon,G
Eager Trufflesnout,uncommon,G
Eaten Alive,common,B
Electroduplicate,rare,R
Elementalist Adept,common,U
"Elenda, Saint of Dusk",rare,Multicolor
Elfsworn Giant,common,G
Elvish Archdruid,rare,G
Elvish Regrower,uncommon,G
Embercleave,special,R
Empyrean Eagle,uncommon,Multicolor
Erudite Wizard,common,U
Essence Scatter,uncommon,U
"Etali, Primal Storm",rare,R
Evolving Wilds,common,Colorless
Exemplar of Light,rare,W
Exsanguinate,uncommon,B
Extravagant Replication,rare,U
Faebloom Trick,uncommon,U
Fake Your Own Death,common,B
Fanatical Firebrand,common,R
Felidar Savior,common,W
Felling Blow,uncommon,G
Fiend Artisan,special,Multicolor
Fiendish Panda,uncommon,Multicolor
Fiery Annihilation,uncommon,R
Firebrand Archer,common,R
Firespitter Whelp,uncommon,R
Fishing Pole,uncommon,Colorless
Flamewake Phoenix,rare,R
Fleeting Distraction,common,U
Fleeting Flight,common,W
Frenzied Goblin,uncommon,R
Garruk's Uprising,uncommon,G
Genesis Wave,rare,G
"Ghalta, Primal Hunger",rare,G
"Giada, Font of Hope",rare,W
Giant Growth,common,G
Gleaming Barrier,common,Colorless
Gnarlid Colony,common,G
Goblin Boarders,common,R
Goblin Bushwhacker,special,R
Goblin Negotiation,uncommon,R
Goblin Surprise,common,R
Goldvein Pick,common,Colorless
Good-Fortune Unicorn,uncommon,Multicolor
Gorehorn Raider,common,R
Grappling Kraken,uncommon,U
Grim Tutor,special,B
Grow from the Ashes,common,G
Guarded Heir,uncommon,W
Gutless Plunderer,common,B
Hare Apparent,common,W
Healer's Hawk,common,W
Heartfire Immolator,uncommon,R
Helpful Hunter,common,W
Herald of Eternal Dawn,mythic,W
Heraldic Banner,uncommon,Colorless
Hero's Downfall,uncommon,B
Heroic Reinforcements,uncommon,Multicolor
Hidetsugu's Second Rite,uncommon,R
High Fae Trickster,rare,U
High-Society Hunter,rare,B
Homunculus Horde,rare,U
Hungry Ghoul,common,B
Icewind Elemental,common,U
Imprisoned in the Moon,uncommon,U
Incinerating Blast,common,R
Infernal Vessel,uncommon,B
Infestation Sage,common,B
Inspiration from Beyond,uncommon,U
Inspiring Call,uncommon,G
Inspiring Paladin,common,W
Involuntary Employment,common,R
Joust Through,uncommon,W
Juggernaut,uncommon,Colorless
Jungle Hollow,common,Multicolor
"Kaito, Cunning Infiltrator",mythic,U
"Kellan, Planar Trailblazer",rare,R
"Kiora, the Rising Tide",rare,U
"Koma, World-Eater",rare,Multicolor
"Krenko, Mob Boss",rare,R
"Kykar, Zephyr Awakener",rare,Multicolor
"Lathril, Blade of the Elves",rare,Multicolor
Leyline Axe,rare,Colorless
Lightshell Duo,common,U
"Liliana, Dreadhorde General",mythic,B
Llanowar Elves,common,G
"Loot, Exuberant Explorer",rare,G
Luminous Rebuke,common,W
Lunar Insight,rare,U
Macabre Waltz,common,B
Make Your Move,common,W
Marauding Blight-Priest,common,B
Meteor Golem,uncommon,Colorless
Micromancer,uncommon,U
Midnight Snack,uncommon,B
Mild-Mannered Librarian,uncommon,G
Mischievous Mystic,uncommon,U
Mischievous Pup,uncommon,W
Mocking Sprite,common,U
Mossborn Hydra,rare,G
"Muldrotha, the Gravetide",mythic,Multicolor
Needletooth Pack,uncommon,G
Nessian Hornbeetle,uncommon,G
Nine-Lives Familiar,rare,B
"Niv-Mizzet, Visionary",mythic,Multicolor
Omniscience,mythic,U
Overrun,uncommon,G
Painful Quandary,rare,B
Paradise Druid,special,G
Perforating Artist,uncommon,Multicolor
Phyrexian Arena,rare,B
Pilfer,common,B
Preposterous Proportions,rare,G
Prideful Parent,common,W
Progenitus,mythic,Multicolor
Quakestrider Ceratops,uncommon,G
Quick-Draw Katana,common,Colorless
Quilled Greatwurm,mythic,G
Raise the Past,rare,W
Ravenous Amulet,uncommon,Colorless
Reassembling Skeleton,uncommon,B
Reclamation Sage,uncommon,G
Refute,common,U
Resolute Reinforcements,uncommon,W
Revenge of the Rats,uncommon,B
Rise of the Dark Realms,mythic,B
Rite of the Dragoncaller,mythic,R
Rogue's Passage,uncommon,Colorless
"Ruby, Daring Tracker",uncommon,Multicolor
Rugged Highlands,common,Multicolor
Run Away Together,common,U
Rune-Scarred Demon,rare,B
Rune-Sealed Wall,uncommon,U
Sanguine Syphoner,common,B
Savannah Lions,uncommon,W
Scavenging Ooze,rare,G
Scoured Barrens,common,Multicolor
Scrawling Crawler,rare,Colorless
Searslicer Goblin,rare,R
Secluded Courtyard,uncommon,Colorless
Seeker's Folly,uncommon,B
Seismic Rupture,uncommon,R
Self-Reflection,uncommon,U
Serra Angel,uncommon,W
Shivan Dragon,uncommon,R
Sire of Seven Deaths,mythic,Colorless
Skyknight Squire,rare,W
Skyship Buccaneer,uncommon,U
Slagstorm,rare,R
Slumbering Cerberus,uncommon,R
Snakeskin Veil,uncommon,G
Solemn Simulacrum,rare,Colorless
Soul-Shackled Zombie,common,B
Soulstone Sanctuary,rare,Colorless
Sower of Chaos,common,R
Spectral Sailor,uncommon,U
Sphinx of Forgotten Lore,mythic,U
Sphinx's Tutelage,special,U
Spinner of Souls,rare,G
Spitfire Lagac,common,R
Squad Rallier,common,W
Stab,common,B
Strix Lookout,common,U
Stroke of Midnight,uncommon,W
Stromkirk Bloodthief,uncommon,B
Strongbox Raider,uncommon,R
Sun-Blessed Healer,uncommon,W
Sure Strike,common,R
Swiftblade Vindicator,rare,Multicolor
Swiftfoot Boots,uncommon,Colorless
Swiftwater Cliffs,common,Multicolor
Sylvan Scavenging,rare,G
"Tatyova, Benthic Druid",uncommon,Multicolor
Temporal Manipulation,special,U
Think Twice,common,U
Thornwood Falls,common,Multicolor
Thousand-Year Storm,rare,Multicolor
Thrill of Possibility,common,R
Time Stop,rare,U
"Tinybones, Bauble Burglar",rare,B
Tolarian Terror,common,U
Tragic Banshee,uncommon,B
Tranquil Cove,common,Multicolor
Treetop Snarespinner,common,G
Twinblade Blessing,uncommon,W
Twinflame Tyrant,mythic,R
Uncharted Voyage,common,U
Valkyrie's Call,mythic,W
Vampire Gourmand,uncommon,B
Vampire Nighthawk,uncommon,B
Vampire Soulcaller,common,B
Vanguard Seraph,common,W
Vengeful Bloodwitch,uncommon,B
Vivien Reid,mythic,G
Wardens of the Cycle,uncommon,Multicolor
Wary Thespian,common,G
Wildwood Scourge,uncommon,G
Wind-Scarred Crag,common,Multicolor
Witness Protection,common,U
Youthful Valkyrie,uncommon,W
"Zimone, Paradox Sculptor",mythic,Multicolor
Zombify,uncommon,B
"Zul Ashur, Lich Lord",rare,B
