name,rarity,color_identity
"A-Baba Lysaga, Night Witch",rare,Multicolor
A-Earthquake Dragon,rare,G
"A-Minsc & Boo, Timeless Heroes",mythic,Multicolor
A-Monster Manual,rare,G
A-Sepulcher Ghoul,common,B
Air-Cult Elemental,common,U
Alaundo the Seer,rare,Multicolor
"Alora, Rogue Companion",uncommon,U
Altar of Bhaal,rare,B
"Ambergris, Citadel Agent",uncommon,R
Ambition's Cost,uncommon,B
Ambitious Dragonborn,common,G
Ancient Brass Dragon,mythic,B
Ancient Bronze Dragon,mythic,G
Ancient Copper Dragon,mythic,R
Ancient Gold Dragon,mythic,W
Ancient Silver Dragon,mythic,U
Arcane Archery,common,G
Archivist of Oghma,rare,W
Armor of Shadows,common,B
Ascend from Avernus,rare,W
"Astarion, the Decadent",rare,Multicolor
Bag of Holding,uncommon,Colorless
Baldur's Gate,rare,Colorless
Baleful Beholder,special,B
Band Together,common,G
Basilisk Collar,rare,Colorless
Battle Cry Goblin,uncommon,R
Belt of Giant Strength,rare,G
Black Dragon,uncommon,B
Black Market Connections,rare,B
Blood Money,mythic,B
Blur,common,U
Boareskyr Tollkeeper,uncommon,W
Bonecaller Cleric,uncommon,B
Breath Weapon,uncommon,R
Bronze Walrus,uncommon,Colorless
"Calim, Djinn Emperor",rare,U
Cast Down,uncommon,B
Catti-brie of Mithral Hall,rare,Multicolor
Celestial Unicorn,common,W
Chain Devil,common,B
Champions of Tyr,mythic,W
Chaos Balor,mythic,R
Chardalyn Dragon,uncommon,Colorless
Charmed Sleep,common,U
Choose Your Weapon,uncommon,G
Circle of the Moon Druid,common,G
Clever Conjurer,common,U
Cloak of the Bat,common,Colorless
Contact Other Plane,common,U
Craving of Yeenoghu,uncommon,R
Dawnbringer Cleric,common,W
Deadly Dispute,common,B
Demogorgon's Clutches,common,B
Devoted Paladin,common,W
Displacer Kitten,rare,U
Draconic Lore,uncommon,U
Draconic Muralists,uncommon,G
Dragon's Fire,common,R
Dragonborn Immolator,uncommon,R
Dread Linnorm,common,G
Dream Fracture,uncommon,U
Drider,uncommon,B
Druid of the Emerald Grove,uncommon,G
Dueling Rapier,common,R
Earth-Cult Elemental,common,R
Eldritch Pact,rare,B
Ettercap,common,G
Eyes of the Beholder,special,B
Farideh's Fireball,common,R
Favored Enemy,rare,G
Fiendlash,rare,R
Flames of Moradin,rare,R
Flaming Fist Duskguard,common,W
Flaming Fist Officer,common,W
Follow the Tracks,common,G
Fraying Line,rare,Colorless
Gale's Redirection,rare,U
"Gale, Conduit of the Arcane",mythic,U
Gate of the Black Dragon,uncommon,B
Gate to Manorborn,uncommon,G
Gate to Seatower,uncommon,U
Gate to Tumbledown,uncommon,R
Gate to the Citadel,uncommon,W
Genasi Rabble-Rouser,common,R
Ghost Lantern,uncommon,B
Giant Fire Beetles,common,R
Gnoll Hunter,common,G
Gnoll Hunting Party,uncommon,R
Goblin Trapfinder,uncommon,R
"Gorion, Wise Mentor",rare,Multicolor
Grave Choice,uncommon,B
Gray Slaad,common,B
Grim Bounty,common,B
Grim Hireling,rare,B
Grim Wanderer,uncommon,B
Guardian Naga,common,W
Guiding Bolt,uncommon,W
Guild Thief,uncommon,U
"Gut, Fanatical Priestess",uncommon,R
Hill Giant Herdgorger,common,G
Hoard Robber,common,B
Hobgoblin Captain,common,R
Hook Horror,common,B
Horn of Valhalla,rare,W
Hypnotic Pattern,common,U
Icewind Stalwart,common,W
Illithid Harvester,rare,U
"Imoen, Trickster Friend",rare,U
Improvised Weaponry,common,R
Incessant Provocation,common,R
Inspiring Bard,common,G
Intellect Devourer,rare,B
Irenicus's Vile Duplication,uncommon,U
Iron Golem,common,Colorless
Jaded Sell-Sword,common,R
"Jaheira, Harper Emissary",uncommon,G
"Jan Jansen, Chaos Crafter",rare,Multicolor
"Jon Irenicus, the Exile",rare,Multicolor
Juvenile Mist Dragon,uncommon,U
"Kagha, Shadow Archdruid",uncommon,Multicolor
"Kalain, Reclusive Painter",uncommon,Multicolor
"Kardum, Patron of Flames",rare,R
"Karlach, Raging Tiefling",rare,R
Kindred Discovery,special,U
"Klement, Novice Acolyte",rare,W
Kobold Warcaller,common,R
"Korlessa, Scale Singer",uncommon,Multicolor
Krydle of Baldur's Gate,uncommon,Multicolor
Lae'zel's Acrobatics,rare,W
"Lae'zel, Githyanki Warrior",rare,W
Liara of the Flaming Fist,uncommon,Multicolor
Lizardfolk Librarians,common,U
"Lozhan, Dragons' Legacy",uncommon,Multicolor
"Lukamina, Moon Druid",mythic,G
"Lulu, Forgetful Hollyphant",uncommon,W
Lurking Roper,uncommon,G
Mace of Disruption,common,W
Manticore,special,B
"Mazzy, Truesword Paladin",rare,Multicolor
Mephit's Enthusiasm,uncommon,R
Meteor Golem,special,Colorless
"Miirym, Sentinel Wyrm",rare,Multicolor
Mind Spike,uncommon,B
Minimus Containment,common,W
Minthara of the Absolute,uncommon,Multicolor
Mirror of Life Trapping,rare,Colorless
Monk of the Open Hand,uncommon,W
Moradin's Disciples,uncommon,W
Nalfeshnee,rare,R
Nalia de'Arnise,mythic,Multicolor
"Neera, Wild Mage",rare,Multicolor
Nefarious Imp,common,B
"Oji, the Exquisite Blade",uncommon,Multicolor
Owlbear,common,G
Owlbear Shepherd,uncommon,G
"Oyaminartok, Polar Werebear",rare,Multicolor
Pact Weapon,mythic,B
Patriar's Humiliation,common,W
Pegasus Guardian,uncommon,W
Pilgrim's Eye,common,Colorless
Poison the Blade,common,G
Portable Hole,uncommon,W
Priest of Ancient Lore,common,W
Prophetic Prism,special,Colorless
"Prosper, Tome-Bound",mythic,Multicolor
Prosperous Innkeeper,uncommon,G
"Raggadragga, Goreguts Boss",rare,Multicolor
Rally Maneuver,uncommon,W
Ranger Squadron,common,W
"Raphael, Fiendish Savior",rare,Multicolor
"Rasaad, Monk of Selûne",uncommon,W
Ray of Frost,uncommon,U
Reckless Barbarian,common,R
Red Dragon,uncommon,R
Rescuer Chwinga,uncommon,W
Rimeshield Frost Giant,common,U
Robe of the Archmagi,rare,U
Sarevok the Usurper,uncommon,B
Scaled Nurturer,common,G
Scouting Hawk,uncommon,W
Seatower Imprisonment,uncommon,W
Seek New Knowledge,uncommon,U
Sewer Plague,common,B
"Shadowheart, Sharran Cleric",rare,B
Shambling Ghast,common,B
Shocking Grasp,common,U
Signature Spells,rare,U
"Skanos, Dragon Vassal",uncommon,G
Skullport Merchant,uncommon,B
Snowborn Simulacra,mythic,U
Soldiers of the Watch,common,W
Soulknife Spy,common,U
Spiked Pit Trap,common,Colorless
Steadfast Paladin,common,W
Stick Together,rare,W
Storm King's Thunder,mythic,R
Stroke of Luck,rare,B
Summon Undead,common,B
Sune's Intervention,rare,W
Swashbuckler Extraordinaire,uncommon,R
Sword Coast Serpent,uncommon,U
Sworn to the Legion,mythic,W
Sylvan Shepherd,common,G
"Tasha, Unholy Archmage",mythic,Multicolor
Thayan Evokers,rare,U
The Hourglass Coven,rare,B
Thieves' Tools,common,B
Thrakkus the Butcher,uncommon,Multicolor
Tiefling Outcasts,rare,R
Traverse the Outlands,rare,G
"Trelasarra, Moon Dancer",uncommon,Multicolor
Two-Handed Axe,uncommon,R
Tymora's Invoker,common,U
"Ulder Ravengard, Marshal",rare,Multicolor
Undercellar Myconid,common,G
Underdark Basilisk,common,G
Undersimplify,common,U
Unexpected Allies,common,R
Unexpected Windfall,common,R
Uthgardt Fury,rare,R
Valiant Farewell,common,W
Valor Singer,common,R
Vampire Spawn,common,B
Verdant Rejuvenation,mythic,G
"Vhal, Eager Scholar",uncommon,U
"Viconia, Nightsinger's Disciple",uncommon,B
Vladimir and Godfrey,rare,W
Wand of Orcus,rare,B
Warriors of Tiamat,common,R
Water Weird,common,U
Wild Shape,uncommon,G
"Wilson, Bear Comrade",rare,G
Wizened Githzerai,common,U
Wrathful Red Dragon,rare,R
"Wyll, Pact-Bound Duelist",mythic,R
You Come to a River,special,U
You Come to the Gnoll Camp,common,R
You Find Some Prisoners,common,R
You Find the Villains' Lair,common,U
You Hear Something on Watch,common,W
You Line Up the Shot,common,G
You Meet in a Tavern,uncommon,G
You're Ambushed on the Road,common,W
You're Confronted by Robbers,uncommon,W
Yuan-Ti Scaleshield,rare,G
