name,rarity,color_identity
Abomination of Gudul,common,Multicolor
Abzan Ascendancy,rare,Multicolor
Abzan Banner,common,Multicolor
Abzan Battle Priest,uncommon,W
Abzan Charm,uncommon,Multicolor
Abzan Falconer,uncommon,W
Abzan Guide,common,Multicolor
Act of Treason,common,R
Ainok Bond-Kin,common,W
Ainok Tracker,common,R
Alabaster Kirin,common,W
Alpine Grizzly,common,G
Altar of the Brood,rare,Colorless
"Anafenza, the Foremost",mythic,Multicolor
Ankle Shanker,rare,Multicolor
Arc Lightning,uncommon,R
Archers' Parapet,common,Multicolor
Armament Corps,uncommon,Multicolor
Arrow Storm,common,R
Ashcloud Phoenix,mythic,R
Avalanche Tusker,rare,Multicolor
Awaken the Bear,common,G
Barrage of Boulders,common,R
Bear's Companion,uncommon,Multicolor
Become Immense,uncommon,G
Bellowing Saddlebrute,uncommon,B
Bitter Revelation,common,B
Blinding Spray,uncommon,U
Bloodfell Caves,special,Multicolor
Bloodfire Expert,common,R
Bloodfire Mentor,common,Multicolor
Bloodsoaked Champion,rare,B
Bloodstained Mire,special,Colorless
Blossoming Sands,special,Multicolor
Brave the Sands,uncommon,W
Briber's Purse,uncommon,Colorless
Bring Low,common,R
Burn Away,uncommon,R
Butcher of the Horde,rare,Multicolor
Cancel,common,U
Canyon Lurkers,common,R
Chief of the Edge,uncommon,Multicolor
Chief of the Scale,uncommon,Multicolor
Clever Impersonator,mythic,U
Crackling Doom,rare,Multicolor
Cranial Archive,uncommon,Colorless
Crater's Claws,rare,R
Crippling Chill,common,U
Dazzling Ramparts,uncommon,W
Dead Drop,uncommon,B
Death Frenzy,uncommon,Multicolor
Debilitating Injury,common,B
Defiant Strike,common,W
Deflecting Palm,rare,Multicolor
Despise,uncommon,B
Dig Through Time,rare,U
Disdainful Stroke,special,U
Dismal Backwater,special,Multicolor
Disowned Ancestor,common,B
Dragon Grip,uncommon,R
Dragon Throne of Tarkir,rare,Colorless
Dragon's Eye Savants,uncommon,U
Dragon-Style Twins,rare,R
Dragonscale Boon,common,G
Duneblast,rare,Multicolor
Dutiful Return,common,B
Efreet Weaponmaster,common,Multicolor
Embodiment of Spring,common,Multicolor
Empty the Pits,mythic,B
End Hostilities,rare,W
Erase,common,W
Feat of Resistance,common,W
Feed the Clan,common,G
Firehoof Cavalry,common,Multicolor
Flooded Strand,special,Colorless
Flying Crane Technique,rare,Multicolor
Force Away,common,U
Frontier Bivouac,uncommon,Multicolor
Ghostfire Blade,rare,Colorless
Glacial Stalker,common,U
Goblinslide,uncommon,R
Grim Haruspex,rare,B
Gurmag Swiftwing,uncommon,B
Hardened Scales,special,G
Heart-Piercer Bow,uncommon,Colorless
Heir of the Wilds,uncommon,G
Herald of Anafenza,rare,W
High Sentinels of Arashin,rare,W
Highland Game,common,G
Highspire Mantis,uncommon,Multicolor
Hooded Hydra,mythic,G
Hooting Mandrills,common,G
Horde Ambusher,uncommon,R
Hordeling Outburst,uncommon,R
Howl of the Horde,rare,R
Icefeather Aven,uncommon,Multicolor
Icy Blast,rare,U
Incremental Growth,uncommon,G
Ivorytusk Fortress,rare,Multicolor
Jeering Instigator,rare,R
Jeskai Ascendancy,rare,Multicolor
Jeskai Banner,common,Multicolor
Jeskai Charm,uncommon,Multicolor
Jeskai Elder,uncommon,U
Jeskai Student,common,W
