name,rarity,color_identity
Abrade,special,R
Abuelo's Awakening,rare,W
"Abuelo, Ancestral Echo",rare,Multicolor
Abyssal Gorestalker,uncommon,B
"Aclazotz, Deepest Betrayal",mythic,B
Acolyte of Aclazotz,common,B
Acrobatic Leap,common,W
Adaptive Gemguard,common,W
"Akal Pakal, First Among Equals",rare,U
"Akawalli, the Seething Tower",uncommon,Multicolor
Amalia Benavides Aguirre,rare,Multicolor
Ancestors' Aid,common,R
Ancestral Reminiscence,common,U
"Anim Pakal, Thousandth Moon",rare,Multicolor
Another Chance,common,B
Armored Kincaller,common,G
Attentive Sunscribe,common,W
Bartolomé del Presidio,uncommon,Multicolor
Basking Capybara,common,G
Bat Colony,uncommon,W
Bedrock Tortoise,rare,G
Belligerent Yearling,uncommon,R
Bitter Triumph,uncommon,B
Bloodletter of Aclazotz,mythic,B
Bloodthorn Flail,uncommon,B
Bonehoard Dracosaur,mythic,R
Brackish Blunder,common,U
Braided Net,rare,U
Brass's Tunnel-Grinder,rare,R
Brazen Blademaster,common,R
"Breeches, Eager Pillager",rare,R
Bringer of the Last Gift,rare,B
Broodrage Mycoid,common,B
Buried Treasure,common,Colorless
Burning Sun Cavalry,common,R
Calamitous Cave-In,uncommon,R
Canonized in Blood,uncommon,B
Caparocti Sunborn,uncommon,Multicolor
"Captain Storm, Cosmium Raider",uncommon,Multicolor
Captivating Cave,common,Colorless
Careening Mine Cart,uncommon,Colorless
Cartographer's Companion,common,Colorless
Cavern Stomper,common,G
Cavern of Souls,mythic,Colorless
Cavernous Maw,uncommon,Colorless
Cenote Scout,uncommon,G
Chart a Course,uncommon,U
Child of the Volcano,common,R
"Chimil, the Inner Sun",mythic,Colorless
Chupacabra Echo,uncommon,B
Clay-Fired Bricks,uncommon,W
Coati Scavenger,uncommon,G
Cogwork Wrestler,common,U
Colossadactyl,uncommon,G
Compass Gnome,common,Colorless
Confounding Riddle,uncommon,U
Contested Game Ball,uncommon,Colorless
Corpses of the Lost,rare,B
Cosmium Blast,common,W
Cosmium Confluence,rare,G
Council of Echoes,uncommon,U
Curator of Sun's Creation,uncommon,R
Daring Discovery,common,R
Dauntless Dismantler,uncommon,W
Dead Weight,common,B
Deathcap Marionette,common,B
Deconstruction Hammer,common,W
Deep Goblin Skulltaker,common,B
Deep-Cavern Bat,uncommon,B
Deepfathom Echo,rare,Multicolor
Deeproot Pilgrimage,rare,U
Defossilize,uncommon,B
Diamond Pick-Axe,uncommon,R
Didact Echo,common,U
Digsite Conservator,uncommon,Colorless
Dinotomaton,common,R
Dire Flail,rare,R
Disruptor Wanderglyph,common,Colorless
Disturbed Slumber,common,G
Dowsing Device,uncommon,R
Dreadmaw's Ire,uncommon,R
Dusk Rose Reliquary,uncommon,W
Earthshaker Dreadmaw,uncommon,G
Eaten by Piranhas,uncommon,U
Echo of Dusk,common,B
Echoing Deeps,rare,Colorless
Enterprising Scallywag,uncommon,R
Envoy of Okinec Ahau,common,W
Etali's Favor,common,R
Explorer's Cache,uncommon,G
Fabrication Foundry,rare,W
Family Reunion,common,W
Fanatical Offering,common,B
Forgotten Monument,uncommon,Colorless
Frilled Cave-Wurm,common,U
Fungal Fortitude,common,B
Gargantuan Leech,uncommon,B
Geological Appraiser,uncommon,R
Get Lost,rare,W
"Ghalta, Stampede Tyrant",mythic,G
"Gishath, Sun's Avatar",mythic,Multicolor
Glimpse the Core,uncommon,G
Glorifier of Suffering,common,W
Glowcap Lantern,uncommon,G
Goblin Tomb Raider,common,R
Goldfury Strider,uncommon,R
Grasping Shadows,uncommon,B
Greedy Freebooter,common,B
Growing Rites of Itlimoc,rare,G
Guardian of the Great Door,uncommon,W
Helping Hand,uncommon,W
Hermitic Nautilus,uncommon,U
Hidden Cataract,common,U
Hidden Courtyard,common,W
Hidden Necropolis,common,B
Hidden Nursery,common,G
Hidden Volcano,common,R
Hit the Mother Lode,rare,R
Hotfoot Gnome,common,R
Hoverstone Pilgrim,uncommon,Colorless
Huatli's Final Strike,common,G
"Huatli, Poet of Unity",mythic,Multicolor
Hulking Raptor,rare,G
Hunter's Blowgun,common,Colorless
Hurl into History,uncommon,U
Idol of the Deep King,common,R
In the Presence of Ages,common,G
"Inti, Seneschal of the Sun",rare,R
Intrepid Paleontologist,rare,G
Inverted Iceberg,common,U
Ironpaw Aspirant,common,W
"Itzquinth, Firstborn of Gishath",uncommon,Multicolor
Ixalli's Lorekeeper,uncommon,G
Jade Seedstones,uncommon,G
Jadelight Spelunker,rare,G
Join the Dead,common,B
Kaslem's Stonetree,common,G
"Kellan, Daring Traveler",rare,Multicolor
Kinjalli's Dawnrunner,uncommon,W
Kitesail Larcenist,rare,U
Kutzil's Flanker,rare,W
"Kutzil, Malamet Exemplar",uncommon,Multicolor
Lodestone Needle,uncommon,U
Magmatic Galleon,rare,R
Malamet Battle Glyph,uncommon,G
Malamet Brawler,common,G
Malamet Scythe,common,G
Malamet Veteran,common,G
Malamet War Scribe,uncommon,W
"Malcolm, Alluring Scoundrel",rare,U
Malicious Eclipse,uncommon,B
Marauding Brinefang,common,U
Market Gnome,uncommon,W
Master's Guide-Mural,uncommon,Multicolor
"Matzalantli, the Great Door",rare,Colorless
Mephitic Draught,common,B
Merfolk Cave-Diver,uncommon,U
Might of the Ancestors,uncommon,W
Miner's Guidewing,common,W
Mineshaft Spider,common,G
Mischievous Pup,special,W
Molten Collapse,rare,Multicolor
"Nicanzil, Current Conductor",uncommon,Multicolor
Nurturing Bristleback,common,G
Oaken Siren,common,U
"Ojer Axonil, Deepest Might",mythic,R
"Ojer Kaslem, Deepest Growth",mythic,G
"Ojer Pakpatiq, Deepest Epoch",mythic,U
"Ojer Taq, Deepest Foundation",mythic,W
Oltec Archaeologists,common,W
Oltec Cloud Guard,common,W
Orazca Puzzle-Door,common,U
Oteclan Landmark,common,W
Out of Air,common,U
Over the Edge,common,G
Palani's Hatcher,rare,Multicolor
Panicked Altisaur,common,R
Pathfinding Axejaw,common,G
Petrify,common,W
Pirate Hat,common,U
Pit of Offerings,uncommon,Colorless
Plundering Pirate,common,R
Poetic Ingenuity,rare,R
Poison Dart Frog,common,G
Preacher of the Schism,rare,B
Primordial Gnawer,common,B
Promising Vein,common,Colorless
Pugnacious Hammerskull,rare,G
Queen's Bay Paladin,rare,B
Quicksand Whirlpool,common,W
Quintorius Kand,mythic,Multicolor
Rampaging Ceratops,uncommon,R
Rampaging Spiketail,common,B
Ray of Ruin,common,B
Relic's Roar,common,U
Resplendent Angel,mythic,W
Restless Anchorage,rare,Multicolor
Restless Prairie,rare,Multicolor
Restless Reef,rare,Multicolor
Restless Ridgeline,rare,Multicolor
Restless Vents,rare,Multicolor
River Herald Guide,common,G
River Herald Scout,common,U
Roaming Throne,rare,Colorless
Ruin-Lurker Bat,uncommon,W
Rumbling Rockslide,common,R
Runaway Boulder,common,Colorless
Sage of Days,common,U
Saheeli's Lattice,uncommon,R
"Saheeli, the Sun's Brilliance",mythic,Multicolor
Sanguine Evangelist,rare,W
Scampering Surveyor,uncommon,Colorless
Screaming Phantom,common,B
Scytheclaw Raptor,uncommon,R
Seeker of Sunlight,common,G
Seismic Monstrosaur,common,R
Self-Reflection,special,U
Sentinel of the Nameless City,rare,G
Shipwreck Sentry,common,U
Sinuous Benthisaur,uncommon,U
Skullcap Snail,common,B
Soaring Sandwing,common,W
Song of Stupefaction,common,U
Sorcerous Spyglass,uncommon,Colorless
Soulcoil Viper,uncommon,B
Souls of the Lost,rare,B
Sovereign Okinec Ahau,mythic,Multicolor
Spelunking,uncommon,G
Spring-Loaded Sawblades,uncommon,W
Spyglass Siren,uncommon,U
Squirming Emergence,rare,Multicolor
Staggering Size,common,G
Stalactite Stalker,rare,B
Starving Revenant,rare,B
Staunch Crewmate,uncommon,U
Stinging Cave Crawler,uncommon,B
Subterranean Schooner,rare,U
Sunbird Standard,uncommon,Colorless
Sunfire Torch,common,R
Sunken Citadel,rare,Colorless
Sunshot Militia,common,R
Swashbuckler's Whip,uncommon,Colorless
Synapse Necromage,uncommon,B
Tarrian's Journal,rare,B
Tarrian's Soulcleaver,rare,Colorless
Tectonic Hazard,common,R
Tendril of the Mycotyrant,uncommon,G
Terror Tide,rare,B
The Ancient One,mythic,Multicolor
The Belligerent,rare,Multicolor
The Enigma Jewel,mythic,U
The Everflowing Well,rare,U
The Millennium Calendar,mythic,Colorless
The Mycotyrant,mythic,Multicolor
The Skullspore Nexus,mythic,G
Thousand Moons Crackshot,common,W
Thousand Moons Infantry,common,W
Thousand Moons Smithy,rare,W
Thrashing Brontodon,uncommon,G
Threefold Thunderhulk,rare,Colorless
Throne of the Grim Captain,rare,B
Tinker's Tote,common,W
Tishana's Tidebinder,rare,U
Tithing Blade,common,B
Treasure Map,rare,Colorless
Triumphant Chomp,uncommon,R
Trumpeting Carnosaur,rare,R
Twists and Turns,uncommon,G
"Uchbenbak, the Great Mistake",uncommon,Multicolor
Unlucky Drop,common,U
Unstable Glyphbridge,rare,W
Vanguard of the Rose,uncommon,W
Visage of Dread,uncommon,B
Vito's Inquisitor,common,B
"Vito, Fanatic of Aclazotz",mythic,Multicolor
Volatile Fault,uncommon,Colorless
Volatile Wanderglyph,common,R
Wail of the Forgotten,rare,Multicolor
Walk with the Ancestors,common,G
Warden of the Inner Sky,rare,W
Waterlogged Hulk,uncommon,U
Waterwind Scout,common,U
Waylaying Pirates,common,U
Zoetic Glyph,uncommon,U
Zoyowa Lava-Tongue,uncommon,Multicolor
Zoyowa's Justice,uncommon,R
