name,rarity,color_identity
"Andúril, Flame of the West",mythic,Colorless
"Aragorn, Company Leader",rare,Multicolor
"Aragorn, the Uniter",mythic,Multicolor
Arwen Undómiel,uncommon,Multicolor
Arwen's Gift,common,U
"Arwen, Mortal Queen",mythic,Multicolor
Bag End Porter,common,G
Banish from Edoras,common,W
Barad-dûr,rare,B
Barrow-Blade,uncommon,Colorless
Battle-Scarred Goblin,common,R
Bewitching Leechcraft,common,U
"Bilbo, Retired Burglar",uncommon,Multicolor
"Bill Ferny, Bree Swindler",uncommon,U
Bill the Pony,uncommon,W
Birthday Escape,common,U
Bitter Downfall,uncommon,B
Bombadil's Song,common,G
Book of Mazarbul,uncommon,R
Borne Upon a Wind,rare,U
"Boromir, Warden of the Tower",rare,W
Brandywine Farmer,common,G
Breaking of the Fellowship,common,R
"Butterbur, Bree Innkeeper",uncommon,Multicolor
Call of the Ring,rare,B
Captain of Umbar,common,U
Cast into the Fire,common,R
Celeborn the Wise,uncommon,G
Chance-Met Elves,common,G
Cirith Ungol Patrol,common,B
Claim the Precious,common,B
Council's Deliberation,uncommon,U
Dawn of a New Age,mythic,W
Deceive the Messenger,common,U
Delighted Halfling,rare,G
"Denethor, Ruling Steward",uncommon,Multicolor
Display of Power,rare,R
Doors of Durin,rare,Multicolor
Dreadful as the Storm,common,U
Dunland Crebain,common,B
Dúnedain Blade,common,W
Dúnedain Rangers,uncommon,G
Eagles of the North,common,W
East-Mark Cavalier,common,W
Easterling Vanguard,common,B
Eastfarthing Farmer,common,W
"Elrond, Lord of Rivendell",uncommon,U
"Elrond, Master of Healing",rare,Multicolor
Elven Chorus,rare,G
Elven Farsight,common,G
Enraged Huorn,common,G
Ent's Fury,common,G
Ent-Draught Basin,uncommon,Colorless
Entish Restoration,uncommon,G
Erebor Flamesmith,common,R
"Erkenbrand, Lord of Westfold",uncommon,R
Errand-Rider of Gondor,common,W
Escape from Orthanc,common,W
Esquire of the King,common,W
Fall of Cair Andros,rare,R
Fall of Gil-galad,rare,G
"Fangorn, Tree Shepherd",rare,G
"Faramir, Field Commander",uncommon,W
"Faramir, Prince of Ithilien",rare,Multicolor
"Fear, Fire, Foes!",uncommon,R
Fiery Inscription,uncommon,R
Fire of Orthanc,common,R
Flame of Anor,rare,Multicolor
Flowering of the White Tree,rare,W
Fog on the Barrow-Downs,common,W
Foray of Orcs,uncommon,R
Forge Anew,rare,W
Friendly Rivalry,uncommon,Multicolor
Frodo Baggins,uncommon,Multicolor
"Frodo, Sauron's Bane",rare,Multicolor
Galadhrim Bow,common,G
Galadhrim Guide,common,G
Galadriel of Lothlórien,rare,Multicolor
Gandalf the Grey,rare,Multicolor
Gandalf the White,mythic,W
Gandalf's Sanction,uncommon,Multicolor
"Gandalf, Friend of the Shire",uncommon,U
Generous Ent,common,G
Gift of Strands,uncommon,G
Gimli's Axe,common,R
Gimli's Fury,common,R
"Gimli, Counter of Kills",uncommon,R
"Gimli, Mournful Avenger",rare,Multicolor
Glamdring,mythic,Colorless
"Glorfindel, Dauntless Rescuer",uncommon,G
Glorious Gale,common,U
"Glóin, Dwarf Emissary",rare,R
Goblin Fireleaper,uncommon,R
"Goldberry, River-Daughter",rare,U
Gollum's Bite,uncommon,B
"Gollum, Patient Plotter",uncommon,B
Gorbag of Minas Morgul,uncommon,B
"Gothmog, Morgul Lieutenant",uncommon,B
Great Hall of the Citadel,common,Colorless
Grey Havens Navigator,common,U
"Grishnákh, Brash Instigator",uncommon,R
"Grond, the Gatebreaker",uncommon,B
Gríma Wormtongue,uncommon,B
Gwaihir the Windlord,uncommon,Multicolor
Haradrim Spearmaster,common,R
Haunt of the Dead Marshes,common,B
Hew the Entwood,mythic,R
Hithlain Knots,common,U
Hobbit's Sting,common,W
Horn of Gondor,rare,Colorless
Horn of the Mark,rare,Colorless
Horses of the Bruinen,uncommon,U
Improvised Club,common,R
Inherited Envelope,common,Colorless
Ioreth of the Healing House,uncommon,U
Isildur's Fateful Strike,rare,B
Isolation at Orthanc,common,U
Ithilien Kingfisher,common,U
King of the Oathbreakers,rare,Multicolor
Knights of Dol Amroth,common,U
"Landroval, Horizon Witness",uncommon,W
Lash of the Balrog,common,B
Last March of the Ents,mythic,G
"Legolas, Counter of Kills",uncommon,Multicolor
"Legolas, Master Archer",rare,G
Lembas,common,Colorless
Lobelia Sackville-Baggins,rare,B
Long List of the Ents,uncommon,G
Lost Isle Calling,rare,U
Lost to Legend,uncommon,W
Lothlórien Lookout,common,G
