name,rarity,color_identity
Abstruse Appropriation,rare,Multicolor
Accursed Marauder,common,B
Aerie Auxiliary,common,W
Aether Revolt,rare,R
Aether Spike,common,U
Ajani Fells the Godsire,uncommon,W
"Ajani, Nacatl Pariah",mythic,W
Amped Raptor,uncommon,R
Amphibian Downpour,rare,U
Angel of the Ruins,uncommon,W
Annoyed Altisaur,uncommon,G
Arcbound Condor,uncommon,B
Archway of Innovation,rare,U
Arena of Glory,rare,R
Argent Dais,rare,W
"Arna Kennerüd, Skycaptain",mythic,Multicolor
"Ashling, Flame Dancer",mythic,R
"Azlask, the Swelling Scourge",special,Multicolor
Barbarian Ring,uncommon,R
Basking Broodscale,common,G
Bespoke Battlewagon,uncommon,U
Birthing Ritual,mythic,G
Bloodsoaked Insight,uncommon,Multicolor
Bloodstained Mire,rare,Colorless
Boggart Trawler,uncommon,B
Bountiful Landscape,common,Multicolor
Brainsurge,uncommon,U
Branching Evolution,rare,G
Breaker of Creation,uncommon,Colorless
Breathe Your Last,common,B
"Breya, Etherium Shaper",mythic,Multicolor
Bridgeworks Battle,uncommon,G
Buried Alive,uncommon,B
"Cayth, Famed Mechanist",special,Multicolor
Cephalid Coliseum,uncommon,U
Charitable Levy,uncommon,W
Chthonian Nightmare,rare,B
Collective Resistance,uncommon,G
Colossal Dreadmask,common,G
Conduit Goblin,common,Multicolor
Consign to Memory,uncommon,U
Consuming Corruption,uncommon,B
Contaminated Landscape,common,Multicolor
Copycrook,uncommon,U
"Coram, the Undertaker",special,Multicolor
Corrupted Shapeshifter,common,U
Crabomination,rare,B
Cranial Ram,common,Multicolor
Cursed Mirror,rare,R
Cursed Wombat,uncommon,Multicolor
Cyclops Superconductor,common,Multicolor
Deceptive Landscape,common,Multicolor
Decree of Justice,uncommon,W
Deem Inferior,common,U
Deep Analysis,uncommon,U
Depth Defiler,uncommon,U
Deserted Temple,rare,Colorless
Detective's Phoenix,rare,R
Devourer of Destiny,rare,Colorless
Disa the Restless,special,Multicolor
Disciple of Freyalise,uncommon,G
Dismember,special,B
Disruptor Flute,rare,Colorless
Distinguished Conjurer,uncommon,W
Dog Umbra,common,W
Dreadmobile,uncommon,B
Dreamdrinker Vampire,common,B
Dreamtide Whale,rare,U
Drossclaw,common,B
Drowner of Truth,uncommon,Multicolor
Drownyard Lurker,common,U
Echoes of Eternity,rare,Colorless
"Eladamri, Korvecdal",mythic,G
Eldrazi Linebreaker,rare,R
Eldrazi Ravager,uncommon,Colorless
Eldrazi Repurposer,common,G
Electrozoa,common,U
Emerald Medallion,rare,Colorless
Emissary of Soulfire,uncommon,Multicolor
Emperor of Bones,rare,B
Emrakul's Messenger,uncommon,U
"Emrakul, the World Anew",mythic,Colorless
Endurance,special,G
Envoy of the Ancestors,uncommon,W
Essence Reliquary,uncommon,W
Estrid's Invocation,rare,U
Etched Slith,uncommon,B
Etherium Pteramander,uncommon,B
Eviscerator's Insight,common,B
Evolution Witness,common,G
Expanding Ooze,common,Multicolor
Expel the Unworthy,common,W
Expressive Iteration,special,Multicolor
Faithful Watchdog,common,Multicolor
Fanatic of Rhonas,rare,G
Fanged Flames,common,R
Fangs of Kalonia,uncommon,G
Fell the Profane,uncommon,B
Fetid Gargantua,common,B
Flare of Cultivation,rare,G
Flare of Denial,rare,U
Flare of Duplication,rare,R
Flare of Fortitude,rare,W
Flare of Malice,rare,B
Fledgling Dragon,uncommon,R
Flooded Strand,rare,Colorless
Foreboding Landscape,common,Multicolor
Fowl Strike,common,G
Frogmyr Enforcer,uncommon,R
Furnace Hellkite,uncommon,R
Fury,special,R
Galvanic Discharge,common,R
"Genku, Future Shaper",rare,Multicolor
Ghostfire Slice,uncommon,R
Gift of the Viper,common,G
Glaring Fleshraker,uncommon,Colorless
Glasswing Grace,uncommon,Multicolor
Glimpse the Impossible,common,R
Glyph Elemental,uncommon,W
Golden-Tail Trainer,uncommon,Multicolor
Gravedig,common,B
Grief,special,B
Grim Servant,uncommon,B
"Grist, Voracious Larva",mythic,G
Guardian of the Forgotten,uncommon,W
Guide of Souls,rare,W
Harbinger of the Seas,rare,U
"Herigast, Erupting Nullkite",mythic,R
Hexgold Slith,common,W
Hope-Ender Coatl,uncommon,U
Horrid Shadowspinner,uncommon,Multicolor
Horrific Assault,common,G
Hydra Trainer,uncommon,G
Hydroelectric Specimen,uncommon,U
Idol of False Gods,uncommon,Colorless
Imskir Iron-Eater,rare,Multicolor
Indebted Spirit,uncommon,W
Infernal Captor,common,R
Inspired Inventor,common,W
Inventor's Axe,common,R
Invert Polarity,rare,Multicolor
It That Heralds the End,uncommon,Colorless
Izzet Generatorium,uncommon,Multicolor
Jet Medallion,rare,Colorless
Jolted Awake,common,W
Junk Diver,uncommon,Colorless
"Jyoti, Moag Ancient",special,Multicolor
"K'rrik, Son of Yawgmoth",rare,B
Kaalia of the Vast,mythic,Multicolor
Kami of Jealous Thirst,common,B
Kappa Cannoneer,rare,U
Kozilek's Command,rare,Colorless
Kozilek's Unsealing,uncommon,U
"Kozilek, the Broken Reality",mythic,Colorless
"Kudo, King Among Bears",rare,Multicolor
"Laelia, the Blade Reforged",rare,R
Legion Leadership,uncommon,Multicolor
Lethal Throwdown,uncommon,B
Lion Umbra,uncommon,G
Malevolent Rumble,common,G
Mandibular Kite,common,W
Marionette Apprentice,uncommon,B
Meltdown,uncommon,R
Metastatic Evangel,uncommon,W
Meteoric Mace,uncommon,R
Mindless Conscription,uncommon,B
Mogg Mob,uncommon,R
Molten Gatekeeper,common,R
Monstrous Vortex,uncommon,G
Monumental Henge,rare,W
Muster the Departed,uncommon,W
Nadier's Nightblade,uncommon,B
"Nadu, Winged Wisdom",rare,Multicolor
Necrodominance,mythic,B
Nesting Grounds,uncommon,Colorless
Nethergoyf,mythic,B
Nightshade Dryad,common,G
Null Elemental Blast,uncommon,Colorless
Nulldrifter,rare,U
Nyxborn Hydra,common,G
Nyxborn Unicorn,common,W
Obstinate Gargoyle,common,Multicolor
Ocelot Pride,mythic,W
"Omo, Queen of Vesuva",special,Multicolor
Ondu Knotmaster,uncommon,Multicolor
Ophiomancer,rare,B
Orim's Chant,rare,W
Party Thrasher,rare,R
Path of Annihilation,uncommon,G
Pearl Medallion,rare,Colorless
"Pearl-Ear, Imperial Advisor",rare,W
Perilous Landscape,common,Multicolor
Persist,special,B
Petrifying Meddler,common,U
"Phelia, Exuberant Shepherd",rare,W
"Phlage, Titan of Fire's Fury",mythic,Multicolor
Phyrexian Ironworks,uncommon,R
Phyrexian Tower,mythic,B
Pinnacle Monk,uncommon,R
Planar Genesis,uncommon,Multicolor
Polluted Delta,rare,Colorless
Powerbalance,rare,R
Priest of Titania,uncommon,G
Primal Prayers,rare,G
Prismatic Ending,special,W
Propagator Drone,uncommon,G
Proud Pack-Rhino,uncommon,W
Psychic Frog,rare,Multicolor
Pyretic Rebirth,uncommon,Multicolor
Quest for the Necropolis,uncommon,B
Ral and the Implicit Maze,uncommon,R
