name,rarity,color_identity
Abandon the Post,common,R
"Adeline, Resplendent Cathar",rare,W
Ambitious Farmhand,uncommon,W
Angelfire Ignition,rare,Multicolor
Arcane Infusion,uncommon,Multicolor
Ardent Elementalist,common,R
"Arlinn, the Pack's Hope",mythic,Multicolor
Arrogant Outlaw,common,B
Augur of Autumn,rare,G
Baithook Angler,common,U
Baneblade Scoundrel,uncommon,B
Bat Whisperer,common,B
Beloved Beggar,uncommon,W
Bereaved Survivor,uncommon,W
Bird Admirer,common,G
Bladebrand,common,B
Bladestitched Skaab,uncommon,Multicolor
Blessed Defiance,common,W
Blood Pact,common,B
Bloodline Culling,rare,B
Bloodthirsty Adversary,mythic,R
Bloodtithe Collector,uncommon,B
Borrowed Time,uncommon,W
Bounding Wolf,common,G
Bramble Armor,special,G
Briarbridge Tracker,rare,G
Brimstone Vandal,common,R
Brood Weaver,uncommon,G
Brutal Cathar,rare,Multicolor
Burly Breaker,uncommon,G
Burn Down the House,rare,R
Burn the Accursed,common,R
Can't Stay Away,rare,Multicolor
Candlegrove Witch,common,W
Candlelit Cavalry,common,G
Candletrap,common,W
Cathar Commando,special,W
Cathar's Call,uncommon,W
Cathartic Pyre,uncommon,R
Celestus Sanctifier,common,W
Champion of the Perished,rare,B
Chaplain of Alms,uncommon,W
Clarion Cathars,common,W
Clear Shot,special,G
Component Collector,common,U
Consider,common,U
Consuming Blob,mythic,G
Contortionist Troupe,uncommon,G
Corpse Cobble,uncommon,Multicolor
Covert Cutpurse,uncommon,B
Covetous Castaway,uncommon,U
Crawl from the Cellar,common,B
Croaking Counterpart,rare,Multicolor
Crossroads Candleguide,common,Colorless
Curse of Leeches,rare,B
Curse of Shaken Faith,rare,R
Curse of Silence,rare,W
Curse of Surveillance,rare,U
Dawnhart Mentor,uncommon,G
Dawnhart Rejuvenator,common,G
Dawnhart Wardens,uncommon,Multicolor
Deathbonnet Sprout,uncommon,G
Defend the Celestus,uncommon,G
Defenestrate,common,B
Delver of Secrets,uncommon,U
"Dennick, Pious Apprentice",rare,Multicolor
Deserted Beach,rare,Multicolor
Devious Cover-Up,common,U
Devoted Grafkeeper,uncommon,Multicolor
Dire-Strain Rampage,rare,Multicolor
Diregraf Horde,common,B
Diregraf Rebirth,uncommon,Multicolor
Dissipate,uncommon,U
Dreadhound,uncommon,B
Drownyard Amalgam,common,U
Dryad's Revival,uncommon,G
Duel for Dominance,common,G
Duelcraft Trainer,uncommon,W
Duress,special,B
Eaten Alive,special,B
Eccentric Farmer,common,G
Ecstatic Awakener,common,B
Electric Revelation,common,R
Enduring Angel,mythic,W
Evolving Wilds,special,Colorless
Fading Hope,uncommon,U
Faithful Mending,uncommon,Multicolor
Falcon Abomination,common,U
Falkenrath Perforator,common,R
Falkenrath Pit Fighter,rare,R
Famished Foragers,common,R
Fangblade Brigand,uncommon,R
Fateful Absence,rare,W
Festival Crasher,common,R
Field of Ruin,uncommon,Colorless
Firmament Sage,uncommon,U
Flame Channeler,uncommon,R
Flare of Faith,common,W
Fleshtaker,uncommon,Multicolor
Flip the Switch,common,U
"Florian, Voldaren Scion",rare,Multicolor
Foul Play,uncommon,B
Galedrifter,common,U
Galvanic Iteration,rare,Multicolor
Gavony Dawnguard,uncommon,W
Gavony Silversmith,common,W
Gavony Trapper,common,W
Geistflame Reservoir,rare,R
Geistwave,common,U
Ghoulcaller's Harvest,rare,Multicolor
Ghoulish Procession,uncommon,B
"Gisa, Glorious Resurrector",rare,B
Grafted Identity,rare,U
Graveyard Trespasser,rare,B
Grizzly Ghoul,uncommon,Multicolor
Hallowed Respite,rare,Multicolor
Harvesttide Infiltrator,common,R
Harvesttide Sentry,common,G
Haunted Ridge,rare,Multicolor
Hedgewitch's Mask,common,W
Heirloom Mirror,uncommon,B
Hobbling Zombie,common,B
Homestead Courage,common,W
Hostile Hostel,mythic,B
Hound Tamer,uncommon,G
Howl of the Hunt,common,G
Hungry for More,uncommon,Multicolor
Immolation,common,R
Infernal Grasp,uncommon,B
Intrepid Adversary,mythic,W
Jack-o'-Lantern,common,Colorless
