name,rarity,color_identity
A Killer Among Us,uncommon,G
Absolving Lammasu,uncommon,W
Aftermath Analyst,uncommon,G
Agency Coroner,common,B
Agency Outfitter,uncommon,U
"Agrus Kos, Spirit of Justice",mythic,Multicolor
Airtight Alibi,common,G
Alley Assailant,common,B
"Alquist Proft, Master Sleuth",mythic,Multicolor
Analyze the Pollen,rare,G
Anzrag's Rampage,rare,R
"Anzrag, the Quake-Mole",mythic,Multicolor
Archdruid's Charm,rare,G
Assassin's Trophy,rare,Multicolor
Assemble the Players,rare,W
Audience with Trostani,rare,G
Aurelia's Vindicator,mythic,W
"Aurelia, the Law Above",rare,Multicolor
Auspicious Arrival,common,W
Axebane Ferox,rare,G
Barbed Servitor,rare,B
Basilica Stalker,common,B
Behind the Mask,common,U
Benthic Criminologists,common,U
Bishop of the Bloodstained,special,B
Bite Down on Crime,common,G
Blood Spatter Analysis,rare,Multicolor
Bolrac-Clan Basher,uncommon,R
Branch of Vitu-Ghazi,uncommon,Colorless
Break Out,uncommon,Multicolor
Bubble Smuggler,common,U
Burden of Guilt,special,W
Burden of Proof,uncommon,U
Buried in the Garden,special,Multicolor
Call a Surprise Witness,uncommon,W
Candlestick,uncommon,U
Case File Auditor,uncommon,W
Case of the Burning Masks,uncommon,R
Case of the Crimson Pulse,rare,R
Case of the Filched Falcon,uncommon,U
Case of the Gateway Express,uncommon,W
Case of the Gorgon's Kiss,uncommon,B
Case of the Locked Hothouse,rare,G
Case of the Pilfered Proof,uncommon,W
Case of the Ransacked Lab,rare,U
Case of the Shattered Pact,uncommon,Colorless
Case of the Stashed Skeleton,rare,B
Case of the Trampled Garden,uncommon,G
Case of the Uneaten Feast,rare,W
Caught Red-Handed,uncommon,R
Cease // Desist,uncommon,Multicolor
Cerebral Confiscation,common,B
Chalk Outline,uncommon,G
Clandestine Meddler,uncommon,B
Coerced to Kill,uncommon,Multicolor
Cold Case Cracker,common,U
Combine Chrysalis,special,Multicolor
Commercial District,rare,Multicolor
Concealed Weapon,uncommon,R
Connecting the Dots,rare,R
Consign // Oblivion,special,Multicolor
Conspiracy Unraveler,mythic,U
Convenient Target,uncommon,R
Cornered Crook,uncommon,R
Coveted Falcon,rare,U
Crashing Footfalls,special,G
Crime Novelist,uncommon,R
Crimestopper Sprite,common,U
Crowd-Control Warden,common,Multicolor
Cryptex,rare,Colorless
Cryptic Coat,rare,U
Culvert Ambusher,uncommon,G
Curious Cadaver,uncommon,Multicolor
Curious Inquiry,uncommon,U
Deadly Complication,uncommon,Multicolor
Deadly Cover-Up,rare,B
Deduce,common,U
Defenestrated Phantom,common,W
"Delney, Streetwise Lookout",mythic,W
Demand Answers,common,R
Detective's Satchel,uncommon,Multicolor
Dog Walker,common,Multicolor
Doorkeeper Thrull,rare,W
Doppelgang,rare,Multicolor
Drag the Canal,rare,Multicolor
Dramatic Accusation,common,U
Drown in the Loch,special,Multicolor
Due Diligence,common,W
"Duskmantle, House of Shadow",special,Multicolor
Elegant Parlor,rare,Multicolor
Eliminate the Impossible,uncommon,U
Enlisted Wurm,special,Multicolor
Escape Tunnel,common,Colorless
Essence of Antiquity,uncommon,W
"Etrata, Deadly Fugitive",mythic,Multicolor
Evidence Examiner,uncommon,Multicolor
Evolutionary Leap,special,G
Exit Specialist,uncommon,U
Expedited Inheritance,mythic,R
Expose the Culprit,uncommon,R
Extract a Confession,common,B
"Ezrim, Agency Chief",rare,Multicolor
Fabricate,special,U
Fae Flight,uncommon,U
Faerie Snoop,common,Multicolor
Fanatical Strength,common,G
Felonious Rage,common,R
Festerleech,uncommon,B
Field of the Dead,special,Colorless
Flotsam // Jetsam,uncommon,Multicolor
Flourishing Bloom-Kin,uncommon,G
Forensic Gadgeteer,rare,U
Forensic Researcher,uncommon,U
Forum Familiar,uncommon,W
Frantic Scapegoat,uncommon,R
Fugitive Codebreaker,rare,R
Furtive Courier,uncommon,U
Fuss // Bother,uncommon,Multicolor
Gadget Technician,common,Multicolor
Galvanize,common,R
Gamble,special,R
Gearbane Orangutan,common,R
Get a Leg Up,uncommon,G
Ghost Quarter,special,Colorless
Ghostly Prison,special,W
Gleaming Geardrake,uncommon,Multicolor
Glint Weaver,uncommon,G
Gnaw to the Bone,special,G
Goblin Maskmaker,common,R
Goblin Warchief,special,R
Granite Witness,common,Multicolor
Gravestone Strider,common,Colorless
Greenbelt Radical,uncommon,G
Griffnaut Tracker,common,W
Haazda Vigilante,common,W
Hard Evidence,special,U
Hard-Hitting Question,uncommon,G
Harried Dronesmith,uncommon,R
Hedge Maze,rare,Multicolor
Hedge Whisperer,uncommon,G
Hide in Plain Sight,rare,G
High Alert,special,Multicolor
Homicide Investigator,rare,B
Hotshot Investigators,common,U
Hunted Bonebrute,rare,B
Hustle // Bustle,uncommon,Multicolor
Ill-Timed Explosion,rare,Multicolor
Illicit Masquerade,rare,B
Incinerator of the Guilty,mythic,R
Innocent Bystander,common,R
Inside Source,common,W
Insidious Roots,uncommon,Multicolor
Intrude on the Mind,mythic,U
It Doesn't Add Up,uncommon,B
"Ixidor, Reality Sculptor",special,U
"Izoni, Center of the Web",rare,Multicolor
"Jace, Wielder of Mysteries",special,U
Jaded Analyst,common,U
"Judith, Carnage Connoisseur",rare,Multicolor
Karlov Watchdog,uncommon,W
"Kaya, Spirits' Justice",mythic,Multicolor
"Kellan, Inquisitive Prodigy",rare,Multicolor
Knife,uncommon,R
Kraul Whipcracker,uncommon,Multicolor
Krenko's Buzzcrusher,rare,R
"Krenko, Baron of Tin Street",rare,R
Krosan Tusker,special,G
Krovod Haunch,uncommon,W
Kuldotha Rebirth,special,R
Kylox's Voltstrider,mythic,Multicolor
"Kylox, Visionary Inventor",rare,Multicolor
Laid to Rest,special,G
Lamplight Phoenix,rare,R
"Lazav, Wearer of Faces",rare,Multicolor
Lead Pipe,uncommon,B
Leering Onlooker,uncommon,B
Leonin Relic-Warder,special,W
Leyline of the Guildpact,rare,Multicolor
Lightning Helix,uncommon,Multicolor
Living Conundrum,uncommon,U
Long Goodbye,uncommon,B
Lost in the Maze,rare,U
Loxodon Eavesdropper,common,G
Lumbering Laundry,uncommon,Colorless
Lush Portico,rare,Multicolor
Macabre Reconstruction,common,B
Magmaw,special,R
Magnetic Snuffler,uncommon,Colorless
Magnifying Glass,common,Colorless
Make Your Move,special,W
Makeshift Binding,common,W
Marketwatch Phantom,common,W
Mass Hysteria,special,R
"Massacre Girl, Known Killer",mythic,B
Maverick Thopterist,special,Multicolor
Meddling Youths,uncommon,Multicolor
Mentor of the Meek,special,W
Metalspinner's Puzzleknot,special,B
Meticulous Archive,rare,Multicolor
Millstone,special,Colorless
Mistveil Plains,special,W
Mistway Spy,uncommon,U
Molten Psyche,special,R
Monologue Tax,special,W
Murder,special,B
Museum Nightwatch,common,W
Mystery Key,special,U
Neighborhood Guardian,uncommon,W
Nervous Gardener,common,G
Nightdrinker Moroii,uncommon,B
"Niv-Mizzet, Guildpact",rare,Multicolor
No More Lies,uncommon,Multicolor
No Witnesses,rare,W
Not on My Watch,uncommon,W
Novice Inspector,common,W
Nyx Weaver,special,Multicolor
Offender at Large,common,R
Officious Interrogation,rare,Multicolor
On the Job,common,W
Out Cold,common,U
Outrageous Robbery,rare,B
Perimeter Enforcer,uncommon,W
Person of Interest,common,R
Persuasive Interrogators,uncommon,B
Pick Your Poison,common,G
Polygraph Orb,uncommon,B
Pompous Gadabout,uncommon,G
Possibility Storm,special,R
Presumed Dead,uncommon,B
Private Eye,uncommon,Multicolor
Proft's Eidetic Memory,rare,U
Projektor Inspector,common,U
Public Thoroughfare,common,Colorless
Push // Pull,uncommon,Multicolor
Putrid Warrior,special,Multicolor
Pyrotechnic Performer,rare,R
"Quintorius, Field Historian",special,Multicolor
"Rakdos, Patron of Chaos",mythic,Multicolor
Rakish Scoundrel,common,Multicolor
Ranger-Captain of Eos,special,W
Raucous Theater,rare,Multicolor
Reasonable Doubt,common,U
Reckless Detective,uncommon,R
Red Herring,common,R
Reenact the Crime,rare,U
Relive the Past,rare,Multicolor
Repeat Offender,common,B
Repulsive Mutation,uncommon,Multicolor
Riftburst Hellion,common,Multicolor
Rope,uncommon,G
Rot Farm Mortipede,common,B
Rubblebelt Braggart,common,R
Rubblebelt Maverick,common,G
Rune-Brand Juggler,uncommon,Multicolor
Sample Collector,uncommon,G
Sanctuary Wall,uncommon,W
Sanguine Savior,common,Multicolor
Sanitation Automaton,common,Colorless
Scene of the Crime,uncommon,Colorless
Seasoned Consultant,common,W
Shadowy Backstreet,rare,Multicolor
Shady Informant,common,Multicolor
Shard of Broken Glass,special,Colorless
Sharp-Eyed Rookie,rare,G
Shock,common,R
Show and Tell,special,U
Slice from the Shadows,common,B
Slime Against Humanity,common,G
Slimy Dualleech,uncommon,B
Smuggler's Copter,special,Colorless
Snarling Gorehound,common,B
Soul Enervation,uncommon,B
Soul Search,uncommon,Multicolor
Spell Snare,special,U
Steamcore Scholar,rare,U
Stromkirk Captain,special,Multicolor
Sudden Setback,uncommon,U
Sumala Sentry,uncommon,Multicolor
Surveillance Monitor,uncommon,U
Suspicious Detonation,common,R
"Syr Konrad, the Grim",special,B
Tenth District Hero,rare,W
"Teysa, Opulent Oligarch",rare,Multicolor
The Chase Is On,common,R
The Pride of Hull Clade,mythic,Multicolor
They Went This Way,common,G
Thinking Cap,common,Colorless
Thundering Falls,rare,Multicolor
Tin Street Gossip,uncommon,Multicolor
Tireless Tracker,special,G
"Tolsimir, Midnight's Light",rare,Multicolor
Topiary Panther,common,G
Torch the Witness,uncommon,R
Toxin Analysis,common,B
Tragic Slip,special,B
Treacherous Greed,rare,Multicolor
Treacherous Terrain,special,Multicolor
"Trostani, Three Whispers",mythic,Multicolor
Tunnel Tipster,common,G
Unauthorized Exit,common,U
Undercity Eliminator,uncommon,B
Undercity Sewers,rare,Multicolor
Undercover Crocodelf,common,Multicolor
Underground Mortuary,rare,Multicolor
Undergrowth Recon,mythic,G
Unscrupulous Agent,common,B
Unyielding Gatekeeper,rare,W
Urgent Necropsy,mythic,Multicolor
"Vannifar, Evolved Enigma",mythic,Multicolor
Vein Ripper,mythic,B
Vengeful Creeper,common,G
Vengeful Tracker,uncommon,R
Victimize,special,B
Vitu-Ghazi Inspector,common,G
Warleader's Call,rare,Multicolor
Wispdrinker Vampire,uncommon,Multicolor
Wojek Investigator,rare,W
Worldsoul's Rage,rare,Multicolor
Worldspine Wurm,special,G
Wrench,uncommon,W
"Yarus, Roar of the Old Gods",rare,Multicolor
