name,rarity,color_identity
Acquisition Octopus,uncommon,U
Akki Ember-Keeper,common,R
Akki Ronin,common,R
Akki War Paint,common,R
Ambitious Assault,common,R
Ancestral Katana,common,W
Anchor to Reality,uncommon,U
"Ao, the Dawn Sky",mythic,W
Armguard Familiar,common,U
Asari Captain,uncommon,Multicolor
Assassin's Ink,uncommon,B
"Atsushi, the Blazing Sky",mythic,R
Automated Artificer,common,Colorless
Awakened Awareness,uncommon,U
Azusa's Many Journeys,uncommon,G
Bamboo Grove Archer,common,G
Banishing Slash,uncommon,W
Bearer of Memory,common,G
Befriending the Moths,common,W
Behold the Unspeakable,uncommon,U
Biting-Palm Ninja,rare,B
Blade of the Oni,mythic,B
Blade-Blizzard Kitsune,uncommon,W
Bloodfell Caves,special,Multicolor
Blossom Prancer,uncommon,G
Blossoming Sands,special,Multicolor
Boon of Boseiju,uncommon,G
Born to Drive,uncommon,W
Boseiju Reaches Skyward,uncommon,G
"Boseiju, Who Endures",rare,G
Brilliant Restoration,rare,W
Bronze Cudgels,uncommon,Colorless
Bronzeplate Boar,uncommon,R
Brute Suit,common,Colorless
Careful Cultivation,common,G
Chainflail Centipede,common,B
Circuit Mender,uncommon,Colorless
Clawing Torment,common,B
Cloudsteel Kirin,rare,W
Coiling Stalker,common,G
Colossal Skyturtle,uncommon,Multicolor
Commune with Spirits,common,G
Containment Construct,uncommon,Colorless
Covert Technician,uncommon,U
Crackling Emergence,common,R
Debt to the Kami,common,B
Discover the Impossible,uncommon,U
Dismal Backwater,special,Multicolor
Disruption Protocol,common,U
Dockside Chef,uncommon,B
Dokuchi Shadow-Walker,common,B
Dokuchi Silencer,uncommon,B
Dragonfly Suit,common,W
Dragonspark Reactor,uncommon,R
Dramatist's Puppet,common,Colorless
Eater of Virtue,rare,Colorless
Ecologist's Terrarium,common,Colorless
Eiganjo Exemplar,common,W
Eiganjo Uprising,rare,Multicolor
"Eiganjo, Seat of the Empire",rare,W
Enormous Energy Blade,uncommon,B
Enthusiastic Mechanaut,uncommon,Multicolor
Era of Enlightenment,common,W
Essence Capture,special,U
Experimental Synthesizer,common,R
Explosive Entry,common,R
Explosive Singularity,mythic,R
Fable of the Mirror-Breaker,rare,R
Fade into Antiquity,common,G
Fang of Shigeki,common,G
Farewell,rare,W
Favor of Jukai,common,G
Flame Discharge,uncommon,R
Futurist Operative,uncommon,U
Futurist Sentinel,common,U
Generous Visitor,uncommon,G
Geothermal Kami,common,G
Gift of Wrath,common,R
Gloomshrieker,uncommon,Multicolor
Go-Shintai of Ancient Wars,uncommon,R
Go-Shintai of Boundless Vigor,uncommon,G
Go-Shintai of Hidden Cruelty,uncommon,B
Go-Shintai of Lost Wisdom,uncommon,U
Go-Shintai of Shared Purpose,uncommon,W
Golden-Tail Disciple,common,W
"Goro-Goro, Disciple of Ryusei",rare,R
Grafted Growth,common,G
Gravelighter,uncommon,B
"Greasefang, Okiba Boss",rare,Multicolor
Greater Tanuki,common,G
Guardians of Oboro,common,U
Harmonious Emergence,common,G
"Heiko Yamazaki, the General",uncommon,R
Heir of the Ancient Fang,common,G
Hidetsugu Consumes All,mythic,Multicolor
"Hidetsugu, Devouring Chaos",rare,Multicolor
High-Speed Hoverbike,uncommon,Colorless
"Hinata, Dawn-Crowned",rare,Multicolor
Historian's Wisdom,uncommon,G
Hotshot Mechanic,uncommon,W
Imperial Oath,common,W
Imperial Recovery Unit,uncommon,W
Imperial Subduer,common,W
Inkrise Infiltrator,common,B
Intercessor's Arrest,common,W
Inventive Iteration,rare,U
Invigorating Hot Spring,uncommon,Multicolor
Invoke Calamity,rare,R
Invoke Despair,rare,B
Invoke Justice,rare,W
Invoke the Ancients,rare,G
Invoke the Winds,rare,U
Iron Apprentice,common,Colorless
Ironhoof Boar,common,R
"Isshin, Two Heavens as One",rare,Multicolor
"Jin-Gitaxias, Progress Tyrant",mythic,U
Jugan Defends the Temple,mythic,G
Jukai Naturalist,uncommon,Multicolor
Jukai Preserver,common,G
Jukai Trainee,common,G
Jungle Hollow,special,Multicolor
"Junji, the Midnight Sky",mythic,B
"Kairi, the Swirling Sky",mythic,U
Kaito Shizuki,mythic,Multicolor
Kaito's Pursuit,common,B
Kami of Industry,common,R
Kami of Restless Shadows,common,B
Kami of Terrible Secrets,common,B
Kami of Transience,rare,G
Kami's Flare,common,R
Kappa Tech-Wrecker,uncommon,G
Kindled Fury,common,R
Kitsune Ace,common,W
Kodama of the West Tree,mythic,G
"Kotose, the Silent Spider",rare,Multicolor
Kumano Faces Kakkazan,uncommon,R
"Kura, the Boundless Sky",mythic,G
"Kyodai, Soul of Kamigawa",rare,Multicolor
Leech Gauntlet,uncommon,B
Lethal Exploit,common,B
Life of Toshiro Umezawa,uncommon,B
Light the Way,common,W
"Light-Paws, Emperor's Voice",rare,W
Lion Sash,rare,W
Lizard Blades,rare,R
Lucky Offering,common,W
Malicious Malfunction,uncommon,B
March of Burgeoning Life,rare,G
March of Otherworldly Light,rare,W
March of Reckless Joy,rare,R
March of Swirling Mist,rare,U
March of Wretched Sorrow,rare,B
Master's Rebuke,common,G
Mech Hangar,uncommon,Colorless
Mechtitan Core,rare,Colorless
Michiko's Reign of Truth,uncommon,W
Mindlink Mech,rare,U
Mirror Box,rare,Colorless
Mirrorshell Crab,common,U
Mnemonic Sphere,common,U
Mobilizer Mech,uncommon,U
Moon-Circuit Hacker,common,U
Moonfolk Puzzlemaker,common,U
Moonsnare Prototype,common,U
Moonsnare Specialist,common,U
Mothrider Patrol,common,W
Mukotai Ambusher,common,B
Mukotai Soulripper,rare,B
"Naomi, Pillar of Order",uncommon,Multicolor
"Nashi, Moon Sage's Scion",mythic,B
Network Disruptor,common,U
Network Terminal,common,Colorless
Nezumi Bladeblesser,common,B
Nezumi Prowler,uncommon,B
Ninja's Kunai,common,Colorless
"Norika Yamazaki, the Poet",uncommon,W
Ogre-Head Helm,rare,R
Okiba Reckoner Raid,common,B
Okiba Salvage,uncommon,B
Oni-Cult Anvil,uncommon,Multicolor
Orochi Merge-Keeper,uncommon,G
"Otawara, Soaring City",rare,U
Papercraft Decoy,common,Colorless
Patchwork Automaton,uncommon,Colorless
Peerless Samurai,common,R
Planar Incision,common,U
Prodigy's Prototype,uncommon,Multicolor
Prosperous Thief,uncommon,U
Rabbit Battery,uncommon,R
"Raiyuu, Storm's Edge",rare,Multicolor
Reality Heist,uncommon,U
Reckoner Bankbuster,rare,Colorless
Reckoner Shakedown,common,B
Reckoner's Bargain,common,B
Regent's Authority,common,W
Reinforced Ronin,uncommon,R
Reito Sentinel,uncommon,Colorless
Repel the Vile,common,W
Replication Specialist,uncommon,U
Return to Action,common,B
"Risona, Asari Commander",rare,Multicolor
Roadside Reliquary,uncommon,Colorless
Roaring Earth,uncommon,G
Rugged Highlands,special,Multicolor
Runaway Trash-Bot,uncommon,Colorless
Saiba Trespassers,common,U
Satoru Umezawa,rare,Multicolor
"Satsuki, the Living Lore",rare,Multicolor
Scoured Barrens,special,Multicolor
Scrap Welder,rare,R
Scrapyard Steelbreaker,common,R
Searchlight Companion,common,Colorless
Season of Renewal,common,G
Secluded Courtyard,special,Colorless
Seismic Wave,uncommon,R
Selfless Samurai,uncommon,W
Seven-Tail Mentor,common,W
"Shigeki, Jukai Visionary",rare,G
Short Circuit,common,U
Shrine Steward,common,Colorless
Silver-Fur Master,uncommon,Multicolor
Simian Sling,common,R
Sky-Blessed Samurai,uncommon,W
Skyswimmer Koi,common,U
Sokenzan Smelter,uncommon,R
"Sokenzan, Crucible of Defiance",rare,R
Soul Transfer,rare,B
Spell Pierce,common,U
Spinning Wheel Kick,uncommon,G
Spirit-Sister's Call,mythic,Multicolor
Spirited Companion,common,W
Spring-Leaf Avenger,rare,G
Storyweave,uncommon,G
Suit Up,common,U
Sunblade Samurai,common,W
Surgehacker Mech,rare,Colorless
Swiftwater Cliffs,special,Multicolor
"Takenuma, Abandoned Mire",rare,B
Tales of Master Seshiro,common,G
"Tameshi, Reality Architect",rare,Multicolor
Tamiyo's Compleation,common,U
Tamiyo's Safekeeping,common,G
"Tamiyo, Compleated Sage",mythic,Multicolor
"Tatsunari, Toad Rider",rare,Multicolor
Teachings of the Kirin,rare,G
Tempered in Solitude,uncommon,R
"Tezzeret, Betrayer of Flesh",mythic,U
The Dragon-Kami Reborn,rare,G
The Fall of Lord Konda,uncommon,W
The Kami War,mythic,Multicolor
The Long Reach of Night,uncommon,B
The Modern Age,common,U
The Reality Chip,rare,U
The Restoration of Eiganjo,rare,W
The Shattered States Era,common,R
The Wandering Emperor,mythic,W
Thirst for Knowledge,uncommon,U
Thornwood Falls,special,Multicolor
Thousand-Faced Shadow,rare,U
Thundering Raiju,rare,R
Thundersteel Colossus,common,Colorless
Touch the Spirit Realm,uncommon,W
Towashi Guide-Bot,uncommon,Colorless
Towashi Songshaper,common,R
Tranquil Cove,special,Multicolor
Tribute to Horobi,rare,B
Twinshot Sniper,uncommon,R
Twisted Embrace,common,B
Uncharted Haven,special,Colorless
Undercity Scrounger,common,B
Unforgiving One,uncommon,B
Unstoppable Ogre,common,R
Upriser Renegade,uncommon,R
Virus Beetle,common,B
Voltage Surge,common,R
Walking Skyscraper,uncommon,Colorless
Wanderer's Intervention,common,W
Weaver of Harmony,rare,G
Webspinner Cuff,uncommon,G
When We Were Young,uncommon,W
