name,rarity,color_identity
Adaptive Sporesinger,common,G
Against All Odds,uncommon,W
All Will Be One,mythic,R
Ambulatory Edifice,uncommon,B
Annex Sentry,uncommon,W
Annihilating Glare,common,B
Anoint with Affliction,common,B
Apostle of Invasion,uncommon,W
Archfiend of the Dross,rare,B
Argentum Masticore,rare,Colorless
Armored Scrapgorger,uncommon,G
Aspirant's Ascent,common,U
Atmosphere Surgeon,uncommon,U
Atraxa's Skitterfang,uncommon,Colorless
"Atraxa, Grand Unifier",mythic,Multicolor
Awaken the Sleeper,uncommon,R
Axiom Engraver,common,R
Barbed Batterfist,common,R
Basilica Shepherd,common,W
Basilica Skullbomb,common,W
Bilious Skulldweller,uncommon,B
Black Sun's Twilight,rare,B
Blackcleave Cliffs,rare,Multicolor
Blade of Shared Souls,rare,U
Bladed Ambassador,uncommon,W
Bladegraft Aspirant,common,R
Bladehold War-Whip,uncommon,Multicolor
Blazing Crescendo,common,R
Blightbelly Rat,common,B
Bloated Contaminator,rare,G
Blue Sun's Twilight,rare,U
Bonepicker Skirge,common,B
Branchblight Stalker,common,G
Bring the Ending,common,U
Cacophony Scamp,uncommon,R
Cankerbloom,uncommon,G
Capricious Hellraiser,mythic,R
Carnivorous Canopy,common,G
Cephalopod Sentry,uncommon,Multicolor
Charforger,uncommon,Multicolor
Charge of the Mites,common,W
Chimney Rabble,common,R
Chittering Skitterling,uncommon,B
Chrome Prowler,common,U
Churning Reservoir,uncommon,R
Cinderslash Ravager,uncommon,Multicolor
Compleat Devotion,common,W
Conduit of Worlds,rare,G
Contagious Vorrac,common,G
Copper Longlegs,common,G
Copperline Gorge,rare,Multicolor
Crawling Chorus,common,W
Cruel Grimnarch,common,B
Cutthroat Centurion,common,B
Darkslick Shores,rare,Multicolor
Distorted Curiosity,uncommon,U
Dragonwing Glider,rare,R
"Drivnod, Carnage Dominus",mythic,B
Dross Skullbomb,common,B
Drown in Ichor,uncommon,B
Duelist of Deep Faith,common,W
Dune Mover,common,Colorless
Duress,common,B
"Elesh Norn, Mother of Machines",mythic,W
Encroaching Mycosynth,rare,U
Escaped Experiment,common,U
Evolved Spinoderm,rare,G
Evolving Adaptive,uncommon,G
Expand the Sphere,uncommon,G
Experimental Augury,common,U
Exuberant Fuseling,uncommon,R
Eye of Malcator,common,U
"Ezuri, Stalker of Spheres",rare,Multicolor
Feed the Infection,uncommon,B
Flensing Raptor,common,W
Fleshless Gladiator,common,B
Font of Progress,uncommon,U
Forgehammer Centurion,common,R
Free from Flesh,common,R
Furnace Punisher,uncommon,R
Furnace Skullbomb,common,R
Furnace Strider,common,R
"Geth, Thane of Contracts",rare,B
Gitaxian Anatomist,common,U
Gitaxian Raptor,common,U
Gleeful Demolition,uncommon,R
Glissa Sunslayer,rare,Multicolor
Glistener Seer,common,U
Goldwarden's Helm,common,W
"Graaz, Unstoppable Juggernaut",rare,Colorless
Green Sun's Twilight,rare,G
Gulping Scraptrap,common,B
Hazardous Blast,common,R
Hexgold Halberd,uncommon,R
Hexgold Hoverwings,uncommon,W
Hexgold Slash,common,R
Ichor Synthesizer,common,U
Ichormoon Gauntlet,mythic,U
Ichorplate Golem,uncommon,Colorless
Ichorspit Basilisk,common,G
Incisor Glider,common,W
Incubation Sac,uncommon,G
Indoctrination Attendant,common,W
Infectious Bite,uncommon,G
Infectious Inquiry,common,B
Infested Fleshcutter,uncommon,W
