name,rarity,color_identity
Abraded Bluffs,common,Multicolor
Abrupt Decay,special,Multicolor
Akul the Unrepentant,rare,Multicolor
Aloe Alchemist,uncommon,G
Ambush Gigapede,common,B
Ancient Cornucopia,special,G
Anguished Unmaking,special,Multicolor
Ankle Biter,common,G
"Annie Flash, the Veteran",mythic,Multicolor
Annie Joins Up,rare,Multicolor
Another Round,rare,W
Archangel of Tithes,mythic,W
Archive Trap,special,U
Archmage's Charm,special,U
Archmage's Newt,rare,U
Arid Archway,uncommon,Colorless
Armored Armadillo,common,W
Assimilation Aegis,mythic,Multicolor
At Knifepoint,uncommon,Multicolor
Aven Interrupter,rare,W
Back for More,special,Multicolor
Badlands Revival,uncommon,Multicolor
Bandit's Haul,uncommon,Colorless
Baron Bertram Graywater,uncommon,Multicolor
Beastbond Outcaster,uncommon,G
Bedevil,special,Multicolor
Betrayal at the Vault,uncommon,G
Binding Negotiation,uncommon,B
Blacksnag Buzzard,common,B
Blood Hustler,uncommon,B
Blooming Marsh,rare,Multicolor
Boneyard Desecrator,common,B
"Bonny Pall, Clearcutter",rare,Multicolor
Boom Box,uncommon,Colorless
Botanical Sanctum,rare,Multicolor
Bounding Felidar,uncommon,W
Bovine Intervention,uncommon,W
Brazen Borrower,special,U
"Breeches, the Blastmaker",rare,Multicolor
Bridled Bighorn,common,W
Brimstone Roundup,uncommon,R
Bristlebud Farmer,special,G
Bristlepack Sentry,common,G
Bristling Backwoods,common,Multicolor
"Bristly Bill, Spine Sower",mythic,G
"Bruse Tarl, Roving Rancher",rare,Multicolor
Bucolic Ranch,uncommon,Colorless
Buried in the Garden,special,Multicolor
Cactarantula,common,G
Cactusfolk Sureshot,uncommon,Multicolor
"Calamity, Galloping Inferno",rare,R
Canyon Crab,uncommon,U
Caught in the Crossfire,uncommon,R
Caustic Bronco,rare,B
Claim Jumper,rare,W
Clear Shot,special,G
Collective Defiance,special,R
Collector's Cage,special,W
Colossal Rattlewurm,rare,G
Commandeer,special,U
Concealed Courtyard,rare,Multicolor
Conduit Pylons,common,Colorless
Congregation Gryff,uncommon,Multicolor
Consuming Ashes,common,B
Contagion Engine,special,Colorless
Corrupted Conviction,common,B
Crackle with Power,special,R
Creosote Heath,common,Multicolor
Crime // Punishment,special,Multicolor
Cruel Ultimatum,special,Multicolor
Cunning Coyote,uncommon,R
Dance of the Tumbleweeds,common,G
Daring Thunder-Thief,common,U
Deadeye Duelist,common,R
Decimate,special,Multicolor
