name,rarity,color_identity
Abhorrent Overlord,uncommon,B
Aetherling,rare,U
Ajani Steadfast,mythic,W
"Ajani, Mentor of Heroes",mythic,Multicolor
Akoum Warrior,common,R
Akroan Crusader,common,R
Alive // Well,uncommon,Multicolor
Alpha Authority,uncommon,G
Anax and Cymede,uncommon,Multicolor
Anchor to the Aether,uncommon,U
Aqueous Form,uncommon,U
Archaeomancer,common,U
Archangel of Thune,mythic,W
Archway Angel,uncommon,W
Ardenvale Tactician,common,W
Armed // Dangerous,uncommon,Multicolor
Artful Maneuver,common,W
Artisan of Forms,uncommon,U
Ash Zealot,uncommon,R
Ashen Rider,rare,Multicolor
"Ashiok, Nightmare Weaver",mythic,Multicolor
Aspect of Hydra,uncommon,G
Assemble the Legion,mythic,Multicolor
"Athreos, God of Passage",mythic,Multicolor
Audacity,common,G
Aurelia's Fury,rare,Multicolor
Avatar of the Resolute,uncommon,G
Azorius Charm,uncommon,Multicolor
Azorius Guildgate,common,Multicolor
Bala Ged Recovery,uncommon,G
Baleful Eidolon,common,B
Bane of Bala Ged,uncommon,Colorless
Basilica Screecher,common,B
Bassara Tower Archer,uncommon,G
Behold the Beyond,mythic,B
Bident of Thassa,rare,U
Bile Blight,common,B
Blackbloom Rogue,uncommon,B
Blood Baron of Vizkopa,mythic,Multicolor
Blood Scrivener,uncommon,B
Bloodfire Enforcers,common,R
Bloodtithe Harvester,uncommon,Multicolor
Boon Satyr,uncommon,G
Boros Guildgate,common,Multicolor
Boros Reckoner,rare,Multicolor
Boulder Salvo,common,R
Boundary Lands Ranger,common,R
Bounding Krasis,uncommon,Multicolor
Brineborn Cutthroat,uncommon,U
Bring to Light,rare,Multicolor
Brood Monitor,uncommon,G
Burning Anger,rare,R
Call the Gatewatch,uncommon,W
Cartel Aristocrat,uncommon,Multicolor
Catacomb Sifter,uncommon,Multicolor
Cavern Lampad,common,B
Celestial Archon,uncommon,W
Chained to the Rocks,rare,W
"Chandra, Flamecaller",mythic,R
Chasm Skulker,rare,U
Chromanticore,rare,Multicolor
Clear Shot,uncommon,G
Cloudfin Raptor,common,U
Clutch of Currents,common,U
Commune with the Gods,common,G
Compulsory Rest,common,W
Conclave Naturalists,uncommon,G
Consider,common,U
Coordinated Assault,uncommon,R
Counterflux,rare,Multicolor
Courier's Briefcase,common,Multicolor
Crackdown Construct,uncommon,Colorless
Cruel Revival,uncommon,B
Crumble to Dust,uncommon,R
Crush of Tentacles,rare,U
Crypt Incursion,uncommon,B
Dark Betrayal,uncommon,B
Dark Deal,uncommon,B
Dark Petition,rare,B
Darksteel Ingot,common,Colorless
Day's Undoing,mythic,U
Destructive Revelry,uncommon,Multicolor
Devour Flesh,common,B
Dictate of Erebos,rare,B
Dictate of Heliod,rare,W
Dimir Guildgate,common,Multicolor
Dinrova Horror,uncommon,Multicolor
Disciple of Phenax,common,B
District Guide,common,G
Domri Rade,mythic,Multicolor
Down // Dirty,uncommon,Multicolor
Draconic Roar,uncommon,R
Dragon Mantle,common,R
Dragon-Style Twins,uncommon,R
Dragonlord Atarka,mythic,Multicolor
Dragonlord Dromoka,mythic,Multicolor
Dragonlord Kolaghan,mythic,Multicolor
Dragonlord Ojutai,mythic,Multicolor
Dragonlord Silumgar,mythic,Multicolor
Dramatic Reversal,uncommon,U
Dreadbore,common,Multicolor
Dreadhound,uncommon,B
Dreg Mangler,common,Multicolor
Eidolon of Rhetoric,uncommon,W
"Elspeth, Sun's Champion",mythic,W
Enter the Infinite,mythic,U
"Ephara, God of the Polis",mythic,Multicolor
Epic Experiment,mythic,Multicolor
"Erebos, God of the Dead",mythic,B
Essence Scatter,common,U
Evangel of Heliod,uncommon,W
Evolving Wilds,common,Colorless
Expedite,common,R
Experiment One,uncommon,G
Exquisite Firecraft,rare,R
Extricator of Sin,uncommon,W
Fall of the Hammer,common,R
Fallaji Archaeologist,common,U
Fanatic of Mogis,uncommon,R
Far // Away,uncommon,Multicolor
Fell Stinger,uncommon,B
Fiendslayer Paladin,uncommon,W
Fight with Fire,uncommon,R
Fleecemane Lion,rare,Multicolor
Flitterstep Eidolon,uncommon,U
Fog,uncommon,G
Frostburn Weird,uncommon,Multicolor
Furious Rise,uncommon,R
"Garruk, Apex Predator",mythic,Multicolor
"Garruk, Caller of Beasts",mythic,G
Gate Colossus,uncommon,Colorless
Gatebreaker Ram,uncommon,G
Gates Ablaze,uncommon,R
Gateway Plaza,common,Colorless
Gather the Pack,uncommon,G
Ghirapur Gearcrafter,common,R
Ghor-Clan Rampager,uncommon,Multicolor
Ghostblade Eidolon,common,W
"Gideon, Ally of Zendikar",mythic,W
Gift of Orzhova,uncommon,Multicolor
Give // Take,uncommon,Multicolor
Gladecover Scout,common,G
Gnarlback Rhino,common,G
Goblin Heelcutter,common,R
Goblin Rabblemaster,rare,R
Golgari Guildgate,common,Multicolor
"Goreclaw, Terror of Qal Sisma",uncommon,G
Growing Ranks,uncommon,Multicolor
Gruul Guildgate,common,Multicolor
Guild Summit,uncommon,U
Gurmag Angler,common,B
Gust of Wind,common,U
Hallowed Moonlight,rare,W
Halo Scarab,common,Colorless
Haven of the Spirit Dragon,rare,Colorless
Heart-Piercer Manticore,uncommon,R
Heliod's Pilgrim,common,W
"Heliod, God of the Sun",mythic,W
Hero of Iroas,common,W
Hero of Leina Tower,uncommon,G
Hidden Strings,uncommon,U
Hissing Quagmire,rare,Multicolor
Honored Hydra,uncommon,G
Hopeful Eidolon,uncommon,W
Hornet Nest,rare,G
Humble Defector,uncommon,R
Hunter's Prowess,rare,G
Hushwing Gryff,uncommon,W
Illness in the Ranks,uncommon,B
Illusory Angel,uncommon,U
Imperious Oligarch,common,Multicolor
Imposing Sovereign,uncommon,W
Ingenious Skaab,common,U
"Iroas, God of Victory",mythic,Multicolor
Izzet Guildgate,common,Multicolor
"Jace, Architect of Thought",mythic,U
"Jace, Memory Adept",mythic,U
"Jace, Vryn's Prodigy",mythic,U
Jarad's Orders,rare,Multicolor
Jhessian Thief,uncommon,U
Jwari Disruption,uncommon,U
Kabira Takedown,uncommon,W
"Karametra, God of Harvests",mythic,Multicolor
Keening Apparition,common,W
Keepsake Gorgon,uncommon,B
"Keranos, God of Storms",mythic,Multicolor
Khalni Ambush,common,G
Kiora's Follower,uncommon,Multicolor
"Kiora, the Crashing Wave",mythic,Multicolor
Knight of the White Orchid,rare,W
Knightly Valor,common,W
Kozilek's Return,mythic,R
Kraul Harpooner,uncommon,G
"Kruphix, God of Horizons",mythic,Multicolor
"Kytheon, Hero of Akros",mythic,W
Labyrinth Champion,uncommon,R
Lagonna-Band Trailblazer,common,W
Leafcrown Dryad,common,G
Legion Loyalist,rare,R
Lifebane Zombie,rare,B
Liliana Vess,mythic,B
Liliana of the Dark Realms,mythic,B
"Liliana, Heretical Healer",mythic,B
Limits of Solidarity,uncommon,R
"Linvala, the Preserver",rare,W
Lotleth Troll,rare,Multicolor
Lotus-Eye Mystics,common,W
Loxodon Smiter,uncommon,Multicolor
Lumbering Falls,rare,Multicolor
Lyev Skyknight,common,Multicolor
Makindi Sliderunner,common,R
Martial Glory,common,Multicolor
Master of Waves,rare,U
Maze's End,mythic,Colorless
Medomai the Ageless,rare,Multicolor
Mentor of the Meek,uncommon,W
Miming Slime,common,G
Mistcutter Hydra,rare,G
Mizzium Mortars,mythic,R
Mizzium Skin,common,U
Mogis's Warhound,uncommon,R
"Mogis, God of Slaughter",mythic,Multicolor
Monastery Swiftspear,uncommon,R
Murmuring Mystic,uncommon,U
Nantuko Husk,common,B
Narset Transcendent,mythic,Multicolor
Natural State,uncommon,G
Needle Spires,rare,Multicolor
Nemesis of Mortals,common,G
Nessian Asp,common,G
Niblis of Frost,rare,U
Nighthowler,uncommon,B
Nightveil Specter,uncommon,Multicolor
Nimbus Naiad,common,U
Nissa's Pilgrimage,uncommon,G
"Nissa, Vastwood Seer",mythic,G
"Nissa, Voice of Zendikar",mythic,G
Nivix Cyclops,common,Multicolor
Notion Thief,rare,Multicolor
Nylea's Disciple,common,G
"Nylea, God of the Hunt",mythic,G
Nyx Weaver,uncommon,Multicolor
Oath of Chandra,rare,R
Oath of Gideon,uncommon,W
Oath of Jace,uncommon,U
Oath of Liliana,uncommon,B
Oath of Nissa,rare,G
Ob Nixilis Reignited,mythic,B
Ob Nixilis's Cruelty,common,B
Opal Lake Gatekeepers,common,U
Open the Armory,uncommon,W
Ordeal of Purphoros,uncommon,R
Orzhov Guildgate,common,Multicolor
Outpost Siege,rare,R
Ovalchase Daredevil,uncommon,B
Painful Truths,rare,B
Part the Waterveil,rare,U
Pelakka Predation,common,B
Phalanx Leader,uncommon,W
Phalanx Tactics,uncommon,W
"Pharika, God of Affliction",mythic,Multicolor
"Phenax, God of Deception",mythic,Multicolor
Pia and Kiran Nalaar,rare,R
Pilgrim's Eye,common,Colorless
"Polukranos, World Eater",rare,G
Possessed Skaab,common,Multicolor
Priest of the Blood Rite,uncommon,B
Profit // Loss,uncommon,Multicolor
Progenitor Mimic,mythic,Multicolor
Protect // Serve,uncommon,Multicolor
Pulse of Murasa,uncommon,G
Purphoros's Emissary,common,R
"Purphoros, God of the Forge",mythic,R
Pyromancer's Assault,uncommon,R
Quicken,uncommon,U
Radiant Flames,rare,R
Rakdos Guildgate,common,Multicolor
Rakdos's Return,rare,Multicolor
Rapid Hybridization,uncommon,U
Read the Bones,common,B
Reckless Bushwhacker,uncommon,R
Render Silent,rare,Multicolor
Reprisal,uncommon,W
Rescue from the Underworld,uncommon,B
Retraction Helix,uncommon,U
Returned Centaur,common,B
Reverent Hunter,uncommon,G
Rimrock Knight,common,R
Rogue's Passage,uncommon,Colorless
Rubblebelt Raiders,uncommon,Multicolor
Ruinous Path,uncommon,B
"Ruric Thar, the Unbowed",rare,Multicolor
Sage's Reverie,uncommon,W
Sanitarium Skeleton,common,B
Sarkhan Unbroken,mythic,Multicolor
Savage Punch,common,G
Scab-Clan Berserker,uncommon,R
Scatter to the Winds,uncommon,U
Scion of Ugin,common,Colorless
Scourge of Valkas,rare,R
Scytheclaw Raptor,uncommon,R
Secure the Wastes,rare,W
Seed Guardian,uncommon,G
Seismic Stomp,uncommon,R
Sejiri Shelter,common,W
Selesnya Charm,common,Multicolor
Selesnya Guildgate,common,Multicolor
Shamanic Revelation,rare,G
Shambling Vent,rare,Multicolor
Shipbreaker Kraken,uncommon,U
Shoulder to Shoulder,common,W
"Sidisi, Undead Vizier",rare,B
Sight Beyond Sight,uncommon,U
Silence,rare,W
Silkwrap,uncommon,W
Silumgar Butcher,common,B
Silumgar Sorcerer,uncommon,U
Silundi Vision,common,U
Simic Guildgate,common,Multicolor
Sin Collector,uncommon,Multicolor
Sire of Insanity,rare,Multicolor
Skylasher,rare,G
Skyreaping,uncommon,G
Skyrider Elf,common,Multicolor
Smash to Smithereens,uncommon,R
Soulflayer,rare,B
Spawning Bed,uncommon,Colorless
Sphere of Safety,uncommon,W
Sphinx of Magosi,uncommon,U
Sphinx's Tutelage,uncommon,U
Spirit of the Labyrinth,rare,W
Stab Wound,uncommon,B
Stain the Mind,uncommon,B
Stampeding Elk Herd,common,G
Starfield of Nyx,rare,W
Stasis Snare,uncommon,W
Steam Augury,uncommon,Multicolor
Steward of Solidarity,uncommon,W
Stoneshock Giant,common,R
Stormbreath Dragon,mythic,R
Stormchaser Mage,uncommon,Multicolor
Stormtide Leviathan,rare,U
Sungrace Pegasus,common,W
Supernatural Stamina,common,B
Swift Reckoning,common,W
Swift Warkite,uncommon,Multicolor
Sylvan Caryatid,rare,G
Sylvan Primordial,rare,G
Syndicate Messenger,common,W
Tah-Crop Skirmisher,common,U
"Tasigur, the Golden Fang",rare,Multicolor
Temporal Trespass,mythic,U
Tenth District Legionnaire,uncommon,Multicolor
"Thassa, God of the Sea",mythic,U
The Chain Veil,mythic,Colorless
The Great Aurora,mythic,G
Thopter Engineer,uncommon,R
Thunderclap Wyvern,uncommon,Multicolor
Tidebinder Mage,rare,U
Toil // Trouble,uncommon,Multicolor
Tome Scour,uncommon,U
Tomebound Lich,uncommon,Multicolor
Tormented Hero,uncommon,B
Touch of Moonglove,uncommon,B
Tragic Arrogance,mythic,W
Treasure Cruise,common,U
Triplicate Spirits,uncommon,W
Turn // Burn,uncommon,Multicolor
Ubul Sar Gatekeepers,uncommon,B
Ultimate Price,uncommon,B
Undead Butler,common,B
Unexpected Results,rare,Multicolor
Unflinching Courage,uncommon,Multicolor
Unravel the Aether,common,G
Urban Evolution,uncommon,Multicolor
"Urborg, Tomb of Yawgmoth",rare,Colorless
Valakut Awakening,uncommon,R
Void Shatter,common,U
Void Winnower,mythic,Colorless
Voyaging Satyr,common,G
Wandering Fumarole,rare,Multicolor
War Oracle,uncommon,W
Wear // Tear,uncommon,Multicolor
Whip of Erebos,rare,B
Whisperwood Elemental,mythic,G
Wild Slash,common,R
Windrider Patrol,common,U
Wingsteed Rider,common,W
Witch's Mark,common,R
Woodland Wanderer,rare,G
Worst Fears,mythic,B
Xathrid Necromancer,rare,B
"Xenagos, God of Revels",mythic,Multicolor
"Xenagos, the Reveler",mythic,Multicolor
Zendikar Incarnate,common,Multicolor
Zephyr Winder,uncommon,U
Zulaport Cutthroat,uncommon,B
Zurgo Bellstriker,rare,R
