name,rarity,color_identity
Abundant Maw,uncommon,B
Accursed Witch,uncommon,B
Advanced Stitchwing,uncommon,U
Aim High,common,G
Alchemist's Greeting,common,R
Alms of the Vein,common,B
Altered Ego,rare,Multicolor
Always Watching,rare,W
Angel of Flight Alabaster,special,W
Angelic Purge,common,W
Anguished Unmaking,special,Multicolor
Apothecary Geist,common,W
Archangel Avacyn,mythic,Multicolor
Arlinn Kord,mythic,Multicolor
Assembled Alphas,rare,R
Avacyn's Collar,special,Colorless
Avacyn's Judgment,rare,R
Avacyn's Pilgrim,special,Multicolor
"Avacyn, Angel of Hope",special,W
Balefire Dragon,special,R
Barter in Blood,special,B
Battleground Geist,special,U
Bedlam Reveler,rare,R
Biting Rain,uncommon,B
Blazing Torch,special,Colorless
Blessed Alliance,uncommon,W
Blood Mist,uncommon,R
Bloodbriar,common,G
Bloodflow Connoisseur,special,B
Bloodhall Priest,rare,Multicolor
Bloodline Keeper,special,B
Bloodmad Vampire,common,R
Bonds of Faith,special,W
Borrowed Grace,common,W
Borrowed Hostility,common,R
Borrowed Malevolence,common,B
Bound by Moonsilver,common,W
Brain in a Jar,uncommon,Colorless
Briarbridge Patrol,common,G
Brimstone Volley,special,R
"Bruna, the Fading Light",rare,W
Bump in the Night,special,Multicolor
Burn from Within,rare,R
Butcher's Cleaver,special,Colorless
Bygone Bishop,rare,W
Byway Courier,common,G
Cackling Counterpart,special,U
Call the Bloodline,uncommon,B
Certain Death,common,B
Choked Estuary,uncommon,Multicolor
Clear Shot,special,G
Collective Brutality,rare,B
Collective Defiance,special,R
Collective Effort,rare,W
Compelling Deterrence,uncommon,U
Conduit of Storms,common,R
Confirm Suspicions,rare,U
Confront the Unknown,common,G
Convolute,common,U
Courageous Outrider,uncommon,W
Crawling Sensation,uncommon,G
Crow of Dark Tidings,common,B
Cryptolith Fragment,uncommon,Colorless
Cryptolith Rite,rare,G
Curious Homunculus,uncommon,U
Daring Sleuth,uncommon,U
Dark Salvation,rare,B
Dauntless Cathar,common,W
Dawn Gryff,common,W
Dead Weight,special,B
Deathcap Cultivator,uncommon,Multicolor
Decimator of the Provinces,mythic,G
Declaration in Stone,rare,W
Demonmail Hauberk,special,Colorless
Deny Existence,common,U
Deranged Whelp,common,R
Descend upon the Sinful,mythic,W
Devil's Play,special,R
Devils' Playground,rare,R
Devilthorn Fox,common,W
Diregraf Captain,special,Multicolor
Diregraf Colossus,rare,B
Distended Mindbender,rare,B
Divine Reckoning,special,W
Docent of Perfection,rare,U
Doomed Traveler,special,W
Drag Under,common,U
Drogskol Captain,special,Multicolor
Drogskol Shieldmate,common,W
Drownyard Behemoth,uncommon,U
Drownyard Explorers,common,U
Drunau Corpse Trawler,uncommon,Multicolor
Dusk Feaster,uncommon,B
Duskwatch Recruiter,uncommon,G
Elder Cathar,special,W
Elder Deep-Fiend,rare,U
Eldritch Evolution,rare,G
Ember-Eye Wolf,common,R
"Emrakul, the Promised End",mythic,Colorless
Epiphany at the Drownyard,rare,U
Epitaph Golem,common,Colorless
Erdwal Illuminator,uncommon,U
Essence Flux,common,U
Eternal Scourge,rare,Colorless
Ever After,rare,B
Evolving Wilds,special,Colorless
Explosive Apparatus,common,Colorless
Exultant Cultist,common,U
Faith Unbroken,uncommon,W
Faithbearer Paladin,common,W
Faithless Looting,special,R
Falkenrath Aristocrat,special,Multicolor
Falkenrath Gorger,rare,R
Falkenrath Noble,special,B
Feeling of Dread,special,Multicolor
Fevered Visions,rare,Multicolor
Field Creeper,common,Colorless
Fiend Binder,common,W
Fiend Hunter,special,W
Fiery Temper,uncommon,R
Flameblade Angel,rare,R
Fleeting Memories,uncommon,U
Fogwalker,common,U
Forbidden Alchemy,special,Multicolor
Foreboding Ruins,uncommon,Multicolor
Forge Devil,special,R
Forgotten Creation,rare,U
Forsaken Sanctuary,uncommon,Multicolor
Fortified Village,uncommon,Multicolor
Foul Orchard,uncommon,Multicolor
Furyblade Vampire,uncommon,R
Galvanic Bombardment,common,R
Galvanic Juggernaut,special,Colorless
Game Trail,uncommon,Multicolor
Garruk Relentless,special,Multicolor
Gatstaf Arsonists,common,R
Gavony Unhallowed,common,B
Geier Reach Bandit,uncommon,R
Geier Reach Sanitarium,rare,Colorless
Geist of Saint Traft,special,Multicolor
Geist of the Archives,common,U
Geralf's Masterpiece,rare,U
Ghoulcaller's Accomplice,common,B
Ghoulraiser,special,B
Gisa and Geralf,mythic,Multicolor
Gisa's Bidding,common,B
"Gisela, the Broken Blade",mythic,W
Gnarlwood Dryad,common,G
Gnaw to the Bone,special,G
Goldnight Castigator,mythic,R
Graf Harvest,uncommon,B
Graf Mole,uncommon,G
Graf Rats,common,B
Grapple with the Past,common,G
Grim Flayer,rare,Multicolor
Griselbrand,special,B
Grotesque Mutation,common,B
Groundskeeper,uncommon,G
