name,rarity,color_identity
A Little Chat,uncommon,U
All-Seeing Arbiter,mythic,U
An Offer You Can't Refuse,special,U
Angel of Suffering,mythic,B
Angelic Observer,uncommon,W
Antagonize,common,R
Arc Spitter,uncommon,Colorless
Arcane Bombardment,mythic,R
Attended Socialite,common,G
Aven Heartstabber,rare,Multicolor
Backstreet Bruiser,common,U
Backup Agent,common,W
Ballroom Brawlers,uncommon,W
Big Score,common,R
Black Market Tycoon,rare,Multicolor
Body Dropper,common,Multicolor
Body Launderer,mythic,B
Boon of Safety,common,W
Bootleggers' Stash,mythic,G
Botanical Plaza,common,Multicolor
Bouncer's Beatdown,uncommon,G
Brass Knuckles,uncommon,Colorless
Brazen Upstart,uncommon,Multicolor
Broken Wings,special,G
Brokers Ascendancy,rare,Multicolor
Brokers Charm,uncommon,Multicolor
Brokers Hideout,common,Colorless
Brokers Initiate,common,Multicolor
Brokers Veteran,common,U
Buy Your Silence,common,W
Cabaretti Ascendancy,rare,Multicolor
Cabaretti Charm,uncommon,Multicolor
Cabaretti Courtyard,common,Colorless
Cabaretti Initiate,common,Multicolor
Caldaia Strongarm,common,G
Call In a Professional,uncommon,R
Capenna Express,common,G
Case the Joint,common,U
Celebrity Fencer,common,W
Celestial Regulator,common,Multicolor
Cement Shoes,uncommon,Colorless
Cemetery Tampering,rare,B
Ceremonial Groundbreaker,uncommon,Multicolor
Chrome Cat,common,Colorless
Citizen's Crowbar,uncommon,W
Civic Gardener,common,G
Civil Servant,common,Multicolor
Cleanup Crew,uncommon,G
"Cormela, Glamour Thief",uncommon,Multicolor
Corpse Appraiser,uncommon,Multicolor
Corpse Explosion,rare,Multicolor
Corrupt Court Official,common,B
Courier's Briefcase,uncommon,Multicolor
Crew Captain,uncommon,Multicolor
Crooked Custodian,common,B
Cut Your Losses,rare,U
Cut of the Profits,rare,B
Cutthroat Contender,common,B
Dapper Shieldmate,common,W
Daring Escape,common,R
Darling of the Masses,uncommon,Multicolor
Deal Gone Bad,common,B
Demon's Due,common,B
Depopulate,rare,W
Devilish Valet,rare,R
Dig Up the Body,common,B
Disciplined Duelist,uncommon,Multicolor
Disdainful Stroke,special,U
Dusk Mangler,uncommon,B
Echo Inspector,common,U
Elegant Entourage,uncommon,G
Elspeth Resplendent,mythic,W
Endless Detour,special,Multicolor
"Errant, Street Artist",rare,U
"Evelyn, the Covetous",rare,Multicolor
Even the Score,mythic,U
Evolving Door,rare,G
Exhibition Magician,common,R
Exotic Pets,uncommon,Multicolor
Expendable Lackey,common,U
Extract the Truth,common,B
Extraction Specialist,rare,W
Faerie Vandal,uncommon,U
Fake Your Own Death,special,B
"Falco Spara, Pactweaver",mythic,Multicolor
Fatal Grudge,uncommon,Multicolor
Fight Rigging,rare,G
Fleetfoot Dancer,rare,Multicolor
For the Family,common,G
Forge Boss,uncommon,Multicolor
Freelance Muscle,uncommon,G
Gala Greeters,rare,G
Gathering Throng,common,W
Getaway Car,rare,Colorless
"Giada, Font of Hope",special,W
Gilded Pinions,common,Colorless
Girder Goons,common,B
Glamorous Outlaw,common,Multicolor
Glittering Stockpile,uncommon,R
Glittermonger,common,G
Goldhound,common,R
Graveyard Shift,uncommon,B
Grisly Sigil,uncommon,B
Halo Fountain,mythic,W
Halo Scarab,common,Colorless
High-Rise Sawjack,common,G
Hoard Hauler,rare,R
Hold for Ransom,common,W
Hostile Takeover,rare,Multicolor
Hypnotic Grifter,uncommon,U
Illicit Shipment,uncommon,B
Illuminator Virtuoso,uncommon,W
Incandescent Aria,rare,Multicolor
Incriminate,common,B
Inspiring Overseer,common,W
Involuntary Employment,special,R
Jackhammer,common,R
"Jaxis, the Troublemaker",rare,R
Jetmir's Fixer,common,Multicolor
Jetmir's Garden,rare,Multicolor
"Jetmir, Nexus of Revels",mythic,Multicolor
Jewel Thief,common,G
"Jinnie Fay, Jetmir's Second",rare,Multicolor
Join the Maestros,common,B
Kill Shot,special,W
Knockout Blow,uncommon,W
"Lagrella, the Magpie",uncommon,Multicolor
Ledger Shredder,special,U
Light 'Em Up,common,R
"Lord Xander, the Collector",mythic,Multicolor
"Luxior, Giada's Gift",mythic,Colorless
Luxurious Libation,uncommon,G
Maestros Ascendancy,rare,Multicolor
Maestros Charm,uncommon,Multicolor
Maestros Diabolist,rare,Multicolor
Maestros Initiate,common,Multicolor
Maestros Theater,common,Colorless
Mage's Attendant,uncommon,W
Majestic Metamorphosis,common,U
Make Disappear,common,U
Masked Bandits,common,Multicolor
Mayhem Patrol,common,R
Meeting of the Five,mythic,Multicolor
Metropolis Angel,uncommon,Multicolor
Midnight Assassin,common,B
Most Wanted,common,G
"Mr. Orfeo, the Boulder",uncommon,Multicolor
Murder,special,B
Mysterious Limousine,rare,W
Night Clubber,uncommon,B
Nimble Larcenist,uncommon,Multicolor
"Ob Nixilis, the Adversary",mythic,Multicolor
Obscura Ascendancy,rare,Multicolor
Obscura Charm,uncommon,Multicolor
Obscura Initiate,common,Multicolor
Obscura Interceptor,rare,Multicolor
Obscura Storefront,common,Colorless
"Ognis, the Dragon's Lash",rare,Multicolor
Ominous Parcel,common,Colorless
