name,rarity,color_identity
Abundant Harvest,special,G
Academic Dispute,uncommon,R
Academic Probation,rare,W
Access Tunnel,uncommon,Colorless
Accomplished Alchemist,rare,G
Adventurous Impulse,special,G
Aether Helix,uncommon,Multicolor
Ageless Guardian,common,W
Agonizing Remorse,special,B
Approach of the Second Sun,special,W
Arcane Subtraction,common,U
Archmage Emeritus,rare,U
Archway Commons,common,Colorless
Ardent Dustspeaker,uncommon,R
Arrogant Poet,common,B
Augmenter Pugilist,rare,Multicolor
Baleful Mastery,rare,B
Basic Conjuration,rare,G
Bayou Groff,common,G
Beaming Defiance,common,W
Beledros Witherbloom,mythic,Multicolor
Biblioplex Assistant,common,Colorless
Big Play,common,G
Biomathematician,common,Multicolor
Blade Historian,rare,Multicolor
"Blex, Vexing Pest",mythic,Multicolor
Blood Age General,common,R
Blood Researcher,common,Multicolor
Blot Out the Sky,mythic,Multicolor
Blue Sun's Zenith,special,U
Body of Research,mythic,Multicolor
Bookwurm,uncommon,G
Brackish Trudge,uncommon,B
Brainstorm,special,U
Burrog Befuddler,common,U
Bury in Books,common,U
Callous Bloodmage,rare,B
Campus Guide,special,Colorless
Channel,special,G
Chaos Warp,special,R
Charge Through,common,G
Claim the Firstborn,special,R
Clever Lumimancer,uncommon,W
Closing Statement,uncommon,Multicolor
"Codie, Vociferous Codex",rare,Multicolor
Cogwork Archivist,common,Colorless
Combat Professor,common,W
Compulsive Research,special,U
Confront the Past,rare,B
Conspiracy Theorist,rare,R
Containment Breach,uncommon,G
Counterspell,special,U
Crackle with Power,special,R
Cram Session,common,Multicolor
Creative Outburst,uncommon,Multicolor
Crushing Disappointment,common,B
Crux of Fate,special,B
Culling Ritual,rare,Multicolor
Culmination of Studies,rare,Multicolor
Cultivate,special,G
Curate,special,U
Daemogoth Titan,rare,Multicolor
Daemogoth Woe-Eater,uncommon,Multicolor
Dark Ritual,special,B
Day of Judgment,special,W
Deadly Brew,uncommon,Multicolor
Decisive Denial,special,Multicolor
Defend the Campus,common,W
Defiant Strike,special,W
Demonic Tutor,special,B
Despark,special,Multicolor
Detention Vortex,uncommon,W
Devastating Mastery,rare,W
Devouring Tendrils,uncommon,G
"Dina, Soul Steeper",special,Multicolor
Divide by Zero,uncommon,U
Divine Gambit,special,W
Doom Blade,special,B
Double Major,rare,Multicolor
Draconic Intervention,rare,R
Dragon's Approach,common,R
Dragonsguard Elite,rare,G
Dramatic Finale,rare,Multicolor
Dream Strix,rare,U
Dueling Coach,uncommon,W
Duress,special,B
Eager First-Year,common,W
Ecological Appreciation,mythic,G
Efreet Flamepainter,rare,R
Electrolyze,special,Multicolor
Elemental Expressionist,rare,Multicolor
Elemental Masterpiece,common,Multicolor
Elemental Summoning,common,Multicolor
Eliminate,special,B
Elite Spellbinder,rare,W
Emergent Sequence,uncommon,G
Enthusiastic Study,common,R
Environmental Sciences,common,Colorless
Ephemerate,special,W
Essence Infusion,common,B
Eureka Moment,common,Multicolor
Excavated Wall,common,Colorless
Exhilarating Elocution,common,Multicolor
Expanded Anatomy,common,Colorless
Expel,common,W
Explosive Welcome,uncommon,R
Exponential Growth,rare,G
Expressive Iteration,special,Multicolor
"Extus, Oriq Overlord",mythic,Multicolor
Eyetwitch,uncommon,B
Faithless Looting,special,R
Fervent Mastery,rare,R
Field Trip,common,G
First Day of Class,common,R
Flamescroll Celebrant,rare,Multicolor
Flunk,uncommon,B
