name,rarity,color_identity
A Tale for the Ages,rare,W
Agatha of the Vile Cauldron,mythic,Multicolor
Agatha's Champion,uncommon,G
Agatha's Soul Cauldron,mythic,Colorless
Aggravated Assault,special,R
Aquatic Alchemist,common,U
Archive Dragon,uncommon,U
Archon of the Wild Rose,rare,W
Archon's Glory,common,W
Armory Mice,common,W
As Foretold,special,U
"Ash, Party Crasher",uncommon,Multicolor
Ashiok's Reaper,uncommon,B
"Ashiok, Wicked Manipulator",mythic,B
Asinine Antics,mythic,U
Back for Seconds,uncommon,B
Barrow Naughty,common,B
Beanstalk Wurm,common,G
Belligerent of the Ball,uncommon,R
Bellowing Bruiser,common,R
Beluna Grandsquall,mythic,Multicolor
Beluna's Gatekeeper,common,U
Beseech the Mirror,mythic,B
Besotted Knight,common,W
Bespoke Battlegarb,common,R
Bestial Bloodline,common,G
Bitter Chill,uncommon,U
Bitterblossom,special,B
Blind Obedience,special,W
Blood Moon,special,R
Blossoming Tortoise,mythic,G
Boundary Lands Ranger,uncommon,R
Bramble Familiar,rare,G
Brave the Wilds,common,G
Break the Spell,common,W
Callous Sell-Sword,uncommon,Multicolor
Candy Grapple,common,B
Candy Trail,common,Colorless
Chancellor of Tales,uncommon,U
Charmed Clothier,common,W
Charming Scoundrel,rare,R
Cheeky House-Mouse,uncommon,W
Collector's Vault,uncommon,Colorless
Commune with Nature,common,G
Compulsion,special,U
Conceited Witch,common,B
Cooped Up,common,W
Copy Enchantment,special,U
Cruel Somnophage,rare,Multicolor
Crystal Grotto,common,Colorless
Curiosity,special,U
Curse of the Werefox,common,G
Cursed Courtier,uncommon,W
Cut In,common,R
Dark Tutelage,special,B
Dawn of Hope,special,W
Decadent Dragon,rare,Multicolor
Defense of the Heart,special,G
Devouring Sugarmaw,rare,Multicolor
Diminisher Witch,common,U
Discerning Financier,uncommon,W
Disdainful Stroke,uncommon,U
Doubling Season,special,G
Dragon Mantle,special,R
Dream Spoilers,uncommon,B
Dutiful Griffin,uncommon,W
Edgewall Inn,uncommon,Colorless
Edgewall Pack,common,R
Eerie Interference,uncommon,W
Ego Drain,uncommon,B
Elusive Otter,rare,Multicolor
Elvish Archivist,rare,G
Embereth Veteran,uncommon,R
Eriette of the Charmed Apple,mythic,Multicolor
Eriette's Tempting Apple,uncommon,Colorless
Eriette's Whisper,common,B
Evolving Wilds,special,Colorless
Expel the Interlopers,rare,W
Extraordinary Journey,rare,U
Faerie Dreamthief,uncommon,B
Faerie Fencing,uncommon,B
Farsight Ritual,rare,U
Faunsbane Troll,rare,Multicolor
Feed the Cauldron,common,B
Fell Horseman,common,B
Feral Encounter,rare,G
Ferocious Werefox,common,G
Fiery Emancipation,special,R
Flick a Coin,common,R
Food Fight,rare,R
Forced Fruition,special,U
Frantic Firebolt,common,R
Fraying Sanity,special,U
Freeze in Place,common,U
Frolicking Familiar,uncommon,Multicolor
Frostbridge Guard,common,W
Gadwick's First Duel,uncommon,U
Gallant Pie-Wielder,uncommon,W
Galvanic Giant,uncommon,U
Garruk's Uprising,special,G
Gingerbread Hunter,uncommon,Multicolor
Gingerbrute,common,Colorless
Glass Casket,uncommon,W
Gnawing Crescendo,common,R
Goblin Bombardment,special,R
"Goddric, Cloaked Reveler",rare,R
Grabby Giant,common,R
Graceful Takedown,uncommon,G
Grand Ball Guest,common,R
Grasp of Fate,special,W
Grave Pact,special,B
Greater Auramancy,special,W
"Greta, Sweettooth Scourge",uncommon,Multicolor
Griffin Aerie,special,W
Ground Seal,special,G
Gruff Triplets,rare,G
Gumdrop Poisoner,rare,B
Hamlet Glutton,common,G
Hardened Scales,special,G
Harried Spearguard,common,R
Hatching Plans,special,U
Heartflame Duelist,rare,Multicolor
Hearth Elemental,uncommon,R
High Fae Negotiator,uncommon,B
Hollow Scavenger,common,G
Hopeful Vigil,common,W
Hopeless Nightmare,common,B
Horned Loch-Whale,rare,U
Howling Galefang,uncommon,G
Hylda of the Icy Crown,mythic,Multicolor
Hylda's Crown of Winter,rare,Colorless
Ice Out,common,U
Icewrought Sentry,uncommon,U
Imodane's Recruiter,uncommon,Multicolor
"Imodane, the Pyrohammer",rare,R
Impact Tremors,special,R
Ingenious Prodigy,rare,U
Intangible Virtue,special,W
Into the Fae Court,common,U
Intruder Alarm,special,U
Johann's Stopgap,common,U
"Johann, Apprentice Sorcerer",uncommon,Multicolor
Karmic Justice,special,W
Kellan's Lightblades,common,W
"Kellan, the Fae-Blooded",mythic,Multicolor
Kindled Heroism,common,R
Kindred Discovery,special,U
Knight of Doves,uncommon,W
Knightly Valor,special,W
Korvold and the Noble Thief,uncommon,R
Land Tax,special,W
Leaping Ambush,common,G
Leyline of Abundance,special,G
Leyline of Anticipation,special,U
Leyline of Lightning,special,R
Leyline of Sanctity,special,W
Leyline of the Void,special,B
Lich-Knights' Conquest,rare,B
Likeness Looter,rare,Multicolor
Living Lectern,common,U
Lord Skitter's Blessing,rare,B
Lord Skitter's Butcher,uncommon,B
"Lord Skitter, Sewer King",rare,B
Mana Flare,special,R
Merfolk Coralsmith,common,U
Merry Bards,common,R
Minecart Daredevil,common,R
Mintstrosity,common,B
Misleading Motes,common,U
Mocking Sprite,special,U
Moment of Valor,common,W
Monstrous Rage,uncommon,R
Moonshaker Cavalry,mythic,W
Mosswood Dreadknight,rare,Multicolor
Nature's Will,special,G
Necropotence,special,B
"Neva, Stalked by Nightmares",uncommon,Multicolor
Night of the Sweets' Revenge,uncommon,G
Not Dead After All,common,B
Obyra's Attendants,common,U
"Obyra, Dreaming Duelist",uncommon,Multicolor
Omniscience,special,U
Oppression,special,B
Oversold Cemetery,special,B
Parallel Lives,special,G
Phyrexian Unlife,special,W
Picklock Prankster,uncommon,U
Picnic Ruiner,uncommon,Multicolor
Plunge into Winter,common,W
Pollen-Shield Hare,rare,Multicolor
Polluted Bonds,special,B
Primal Vigor,special,G
Prismatic Omen,special,G
Prophetic Prism,common,Colorless
Protective Parents,common,W
Questing Druid,rare,Multicolor
Quick Study,common,U
Raging Battle Mouse,rare,R
Raid Bombardment,special,R
Rankle's Prank,rare,B
Rat Out,common,B
Ratcatcher Trainee,common,R
Realm-Scorcher Hellkite,mythic,R
Redcap Gutter-Dweller,rare,R
Redcap Thief,common,R
Redtooth Genealogist,common,G
Redtooth Vanguard,uncommon,G
Regal Bunnicorn,rare,W
Repercussion,special,R
Rest in Peace,special,W
Restless Bivouac,rare,Multicolor
Restless Cottage,rare,Multicolor
Restless Fortress,rare,Multicolor
Restless Spire,rare,Multicolor
Restless Vinestalk,rare,Multicolor
Return Triumphant,common,W
Return from the Wilds,common,G
Rhystic Study,special,U
Rimefur Reindeer,common,W
Rootrider Faun,common,G
Rotisserie Elemental,rare,R
Rowan's Grim Search,common,B
"Rowan, Scion of War",mythic,Multicolor
Royal Treatment,uncommon,G
"Ruby, Daring Tracker",special,Multicolor
Sanguine Bond,special,B
Savior of the Sleeping,common,W
Scalding Viper,rare,Multicolor
Scarecrow Guide,common,Colorless
Scream Puff,common,B
Season of Growth,special,G
Sentinel of Lost Lore,rare,G
Sharae of Numbing Depths,uncommon,Multicolor
Shared Animosity,special,R
Shatter the Oath,common,B
Shrouded Shepherd,uncommon,Multicolor
Skewer Slinger,common,R
Skybeast Tracker,common,G
Sleep-Cursed Faerie,rare,U
Sleight of Hand,common,U
Slumbering Keepguard,common,W
Smothering Tithe,special,W
Snaremaster Sprite,common,U
Sneak Attack,special,R
Solitary Sanctuary,uncommon,W
Song of Totentanz,rare,R
Soul-Guide Lantern,uncommon,Colorless
Specter of Mortality,rare,B
Spell Stutter,common,U
Spellbook Vendor,rare,W
Spellscorn Coven,uncommon,Multicolor
Spider Food,common,G
Spiteful Hexmage,rare,B
Splashy Spellcaster,uncommon,U
Spreading Seas,special,U
Stab Wound,special,B
Stingblade Assassin,common,B
Stockpiling Celebrant,common,W
Stonesplitter Bolt,uncommon,R
Stormkeld Prowler,common,U
Stormkeld Vanguard,uncommon,G
Stroke of Midnight,special,W
Succumb to the Cold,uncommon,U
Sugar Rush,common,B
Sweettooth Witch,common,B
"Syr Armont, the Redeemer",uncommon,Multicolor
"Syr Ginger, the Meal Ender",rare,Colorless
Taken by Nightmares,uncommon,B
Talion's Messenger,rare,U
"Talion, the Kindly Lord",mythic,Multicolor
Tangled Colony,rare,B
Tanglespan Lookout,uncommon,G
Tattered Ratter,uncommon,R
Tempest Hart,uncommon,Multicolor
Tenacious Tomeseeker,uncommon,U
Territorial Witchstalker,common,G
The Apprentice's Folly,rare,Multicolor
The End,rare,B
The Goose Mother,rare,Multicolor
The Huntsman's Redemption,rare,G
The Irencrag,rare,Colorless
The Princess Takes Flight,uncommon,W
The Witch's Vanity,uncommon,B
Threadbind Clique,uncommon,Multicolor
Three Blind Mice,rare,W
Three Bowls of Porridge,uncommon,Colorless
Thunderous Debut,rare,G
Titanic Growth,common,G
Toadstool Admirer,common,G
Torch the Tower,common,R
