id,expansion,name,rarity,color_identity,mana_value,types,is_booster
65591,HOU,Ammit Eternal,rare,B,3,Creature - Zombie Crocodile Demon,True
65633,HOU,Torment of Scarabs,uncommon,B,4,Enchantment - Aura Curse,True
32925,M10,Merfolk Looter,common,U,2,Creature - Merfolk Rogue,True
32951,M10,Ornithopter,uncommon,,0,Artifact Creature - Thopter,True
33035,M10,Platinum Angel,mythic,,7,Artifact Creature - Angel,True
33069,M10,Hypnotic Specter,rare,B,3,Creature - Specter,True
65961,XLN,Adanto Vanguard,uncommon,W,2,Creature - Vampire Soldier,True
65963,XLN,Ashes of the Abhorrent,rare,W,2,Enchantment,True
65965,XLN,Axis of Mortality,mythic,W,6,Enchantment,True
65967,XLN,Bellowing Aegisaur,uncommon,W,6,Creature - Dinosaur,True
65969,XLN,Bishop of Rebirth,rare,W,5,Creature - Vampire Cleric,True
65971,XLN,Bishop's Soldier,common,W,2,Creature - Vampire Soldier,True
65973,XLN,Bright Reprisal,uncommon,W,5,Instant,True
65975,XLN,Demystify,common,W,1,Instant,True
65977,XLN,Duskborne Skymarcher,uncommon,W,1,Creature - Vampire Cleric,True
65979,XLN,Emissary of Sunrise,uncommon,W,3,Creature - Human Cleric,True
65981,XLN,Encampment Keeper,common,W,1,Creature - Dog,True
65983,XLN,Glorifier of Dusk,uncommon,W,5,Creature - Vampire Soldier,True
65985,XLN,Goring Ceratops,rare,W,7,Creature - Dinosaur,True
65987,XLN,Imperial Aerosaur,uncommon,W,4,Creature - Dinosaur,True
65989,XLN,Imperial Lancer,uncommon,W,1,Creature - Human Knight,True
65991,XLN,Inspiring Cleric,uncommon,W,3,Creature - Vampire Cleric,True
65993,XLN,Ixalan's Binding,uncommon,W,4,Enchantment,True
65995,XLN,Kinjalli's Caller,common,W,1,Creature - Human Cleric,True
65997,XLN,Kinjalli's Sunwing,rare,W,3,Creature - Dinosaur,True
65999,XLN,Legion Conquistador,common,W,3,Creature - Vampire Soldier,True
66001,XLN,Legion's Judgment,common,W,3,Sorcery,True
66003,XLN,Legion's Landing,rare,W,1,Legendary Enchantment,True
66005,XLN,"Adanto, the First Fort",rare,W,0,Legendary Land,False
66007,XLN,Looming Altisaur,common,W,4,Creature - Dinosaur,True
66009,XLN,"Mavren Fein, Dusk Apostle",rare,W,3,Legendary Creature - Vampire Cleric,True
66011,XLN,Paladin of the Bloodstained,common,W,4,Creature - Vampire Knight,True
66013,XLN,Pious Interdiction,common,W,4,Enchantment - Aura,True
66015,XLN,Priest of the Wakening Sun,rare,W,1,Creature - Human Cleric,True
66017,XLN,Pterodon Knight,common,W,4,Creature - Human Knight,True
66019,XLN,Queen's Commission,common,W,3,Sorcery,True
66021,XLN,Rallying Roar,uncommon,W,3,Instant,True
66023,XLN,Raptor Companion,common,W,2,Creature - Dinosaur,True
66025,XLN,Ritual of Rejuvenation,common,W,3,Instant,True
66027,XLN,Sanguine Sacrament,rare,W,2,Instant,True
66029,XLN,Settle the Wreckage,rare,W,4,Instant,True
66031,XLN,Sheltering Light,uncommon,W,1,Instant,True
66033,XLN,Shining Aerosaur,common,W,5,Creature - Dinosaur,True
66035,XLN,Skyblade of the Legion,common,W,2,Creature - Vampire Soldier,True
66037,XLN,Slash of Talons,common,W,1,Instant,True
66039,XLN,Steadfast Armasaur,uncommon,W,4,Creature - Dinosaur,True
66041,XLN,Sunrise Seeker,common,W,5,Creature - Human Scout,True
66043,XLN,Territorial Hammerskull,common,W,3,Creature - Dinosaur,True
66045,XLN,Tocatli Honor Guard,rare,W,2,Creature - Human Soldier,True
66047,XLN,Vampire's Zeal,common,W,1,Instant,True
66049,XLN,Wakening Sun's Avatar,mythic,W,8,Creature - Dinosaur Avatar,True
66051,XLN,Air Elemental,uncommon,U,5,Creature - Elemental,True
66053,XLN,Arcane Adaptation,rare,U,3,Enchantment,True
66055,XLN,Cancel,common,U,3,Instant,True
66057,XLN,Chart a Course,uncommon,U,2,Sorcery,True
66059,XLN,Daring Saboteur,rare,U,2,Creature - Human Pirate,True
66061,XLN,Deadeye Quartermaster,uncommon,U,4,Creature - Human Pirate,True
66063,XLN,Deeproot Waters,uncommon,U,3,Enchantment,True
66065,XLN,Depths of Desire,common,U,3,Instant,True
66067,XLN,Dive Down,common,U,1,Instant,True
66069,XLN,Dreamcaller Siren,rare,U,4,Creature - Siren Pirate,True
66071,XLN,Entrancing Melody,rare,U,2,Sorcery,True
66073,XLN,Favorable Winds,uncommon,U,2,Enchantment,True
66075,XLN,Fleet Swallower,rare,U,7,Creature - Fish,True
66077,XLN,Headwater Sentries,common,U,4,Creature - Merfolk Warrior,True
66079,XLN,Herald of Secret Streams,rare,U,4,Creature - Merfolk Warrior,True
66081,XLN,"Jace, Cunning Castaway",mythic,U,3,Legendary Planeswalker - Jace,True
66083,XLN,"Kopala, Warden of Waves",rare,U,3,Legendary Creature - Merfolk Wizard,True
66085,XLN,Lookout's Dispersal,uncommon,U,3,Instant,True
66087,XLN,Navigator's Ruin,uncommon,U,3,Enchantment,True
66089,XLN,One With the Wind,common,U,2,Enchantment - Aura,True
66091,XLN,Opt,common,U,1,Instant,True
66093,XLN,Overflowing Insight,mythic,U,7,Sorcery,True
66095,XLN,Perilous Voyage,uncommon,U,2,Instant,True
66097,XLN,Pirate's Prize,common,U,4,Sorcery,True
